Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
PUFA/MUFA,1.17 [0.98-1.39],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
HDL-CE,1.07 [0.90-1.28],1.000,,Cholesteryl Esters in HDL
HDL-C,1.06 [0.89-1.27],1.000,,HDL Cholesterol
ApoA1,1.04 [0.87-1.23],1.000,,Apolipoprotein A1
M-LDL-FC%,1.00 [0.85-1.18],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-PL%,0.96 [0.82-1.13],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Phe,0.96 [0.82-1.13],1.000,,Phenylalanine
His,0.95 [0.81-1.11],1.000,,Histidine
Ile,0.94 [0.80-1.11],1.000,,Isoleucine
Gln,0.92 [0.79-1.08],1.000,,Glutamine
