Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-TG%,1.88 [1.83-1.93],0.000e+00,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XS-VLDL-TG%,1.77 [1.74-1.81],0.000e+00,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,1.77 [1.74-1.80],0.000e+00,***,Triglycerides to Total-Lipids in Medium VLDL percentage
Glu-lactate,1.75 [1.72-1.78],0.000e+00,***,Glucose-lactate
S-VLDL-TG%,1.70 [1.67-1.73],0.000e+00,***,Triglycerides to Total-Lipids in Small VLDL percentage
IDL-TG%,1.70 [1.67-1.72],0.000e+00,***,Triglycerides to Total-Lipids in IDL percentage
Glu,1.69 [1.66-1.72],0.000e+00,***,Glucose
L-LDL-TG%,1.65 [1.63-1.68],0.000e+00,***,Triglycerides to Total-Lipids in Large LDL percentage
L-HDL-PL%,1.62 [1.60-1.65],0.000e+00,***,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-TG%,1.58 [1.56-1.61],0.000e+00,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,1.54 [1.51-1.56],0.000e+00,***,Triglycerides to Total-Lipids in Small LDL percentage
MUFA%,1.51 [1.49-1.54],0.000e+00,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-PL%,1.49 [1.47-1.52],0.000e+00,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.49 [1.46-1.51],0.000e+00,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-TG%,1.48 [1.45-1.51],0.000e+00,***,Triglycerides to Total-Lipids in Small HDL percentage
XL-HDL-TG%,1.47 [1.44-1.49],0.000e+00,***,Triglycerides to Total-Lipids in Very Large HDL percentage
TG/PG,1.46 [1.44-1.49],0.000e+00,***,Triglycerides to Phosphoglycerides ratio
L-HDL-TG%,1.42 [1.40-1.45],0.000e+00,***,Triglycerides to Total-Lipids in Large HDL percentage
XL-HDL-FC%,1.40 [1.38-1.43],8.203e-279,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
M-HDL-TG%,1.38 [1.36-1.41],5.278e-253,***,Triglycerides to Total-Lipids in Medium HDL percentage
VLDL-size,1.37 [1.35-1.40],3.835e-239,***,Average Diameter for VLDL Particles
Sc-ala,1.36 [1.34-1.39],6.435e-284,***,Spectrometer-corrected alanine
S-HDL-TG,1.34 [1.32-1.36],1.069e-269,***,Triglycerides in Small HDL
L-VLDL-TG%,1.31 [1.29-1.34],1.930e-175,***,Triglycerides to Total-Lipids in Large VLDL percentage
GlycA,1.31 [1.28-1.33],1.273e-191,***,Glycoprotein Acetyls
XL-VLDL-TG,1.29 [1.27-1.31],1.368e-219,***,Triglycerides in Very Large VLDL
Ala,1.28 [1.26-1.30],3.979e-178,***,Alanine
Val,1.28 [1.26-1.30],3.156e-179,***,Valine
L-VLDL-PL%,1.28 [1.25-1.31],4.448e-96,***,Phospholipids to Total-Lipids in Large VLDL percentage
XXL-VLDL-TG,1.27 [1.25-1.29],8.133e-202,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,1.27 [1.25-1.29],1.408e-181,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
VLDL-TG,1.26 [1.24-1.28],8.706e-155,***,Triglycerides in VLDL
XXL-VLDL-PL,1.26 [1.24-1.28],4.684e-186,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,1.26 [1.24-1.28],3.945e-191,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
Total-TG,1.26 [1.24-1.28],5.129e-153,***,Total-Triglycerides
XXL-VLDL-TG%,1.26 [1.23-1.29],1.453e-85,***,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-VLDL-TG,1.25 [1.23-1.27],3.993e-157,***,Triglycerides in Small VLDL
XL-VLDL-L,1.24 [1.22-1.26],1.780e-138,***,Total-Lipids in Very Large VLDL
XL-VLDL-P,1.24 [1.22-1.26],1.277e-143,***,Concentration of Very Large VLDL Particles
Total-BCAA,1.23 [1.21-1.25],2.259e-132,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XXL-VLDL-FC,1.23 [1.21-1.25],1.093e-147,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
SFA%,1.23 [1.21-1.25],3.803e-129,***,Saturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-TG,1.23 [1.21-1.25],1.605e-144,***,Triglycerides in Very Small VLDL
S-LDL-TG,1.23 [1.21-1.25],4.222e-151,***,Triglycerides in Small LDL
L-VLDL-TG,1.22 [1.20-1.24],4.717e-125,***,Triglycerides in Large VLDL
M-LDL-TG,1.22 [1.20-1.24],1.031e-139,***,Triglycerides in Medium LDL
IDL-PL%,1.22 [1.19-1.24],4.307e-111,***,Phospholipids to Total-Lipids in IDL percentage
HDL-TG,1.21 [1.19-1.23],3.207e-113,***,Triglycerides in HDL
XXL-VLDL-C,1.20 [1.18-1.22],2.723e-107,***,Cholesterol in Chylomicrons and Extremely Large VLDL
M-HDL-TG,1.20 [1.18-1.22],1.062e-105,***,Triglycerides in Medium HDL
XL-VLDL-PL,1.20 [1.18-1.22],1.074e-100,***,Phospholipids in Very Large VLDL
LDL-TG,1.20 [1.18-1.22],9.951e-110,***,Triglycerides in LDL
L-VLDL-PL,1.20 [1.18-1.22],3.546e-94,***,Phospholipids in Large VLDL
L-VLDL-P,1.19 [1.17-1.21],1.718e-90,***,Concentration of Large VLDL Particles
L-VLDL-L,1.18 [1.16-1.20],9.891e-80,***,Total-Lipids in Large VLDL
Leu,1.18 [1.16-1.20],2.176e-80,***,Leucine
L-LDL-TG,1.18 [1.16-1.20],1.883e-87,***,Triglycerides in Large LDL
XXL-VLDL-CE,1.17 [1.15-1.19],1.058e-75,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
Lactate,1.17 [1.15-1.19],3.130e-65,***,Lactate
IDL-TG,1.16 [1.15-1.18],1.672e-73,***,Triglycerides in IDL
XL-VLDL-FC,1.16 [1.14-1.18],3.441e-67,***,Free Cholesterol in Very Large VLDL
L-VLDL-FC,1.16 [1.14-1.18],9.121e-62,***,Free Cholesterol in Large VLDL
Ile,1.16 [1.14-1.18],1.217e-68,***,Isoleucine
M-VLDL-TG,1.16 [1.14-1.18],8.203e-63,***,Triglycerides in Medium VLDL
MUFA,1.16 [1.14-1.18],1.843e-58,***,Monounsaturated Fatty Acids
Tyr,1.14 [1.12-1.16],5.808e-49,***,Tyrosine
XXL-VLDL-PL%,1.13 [1.11-1.16],3.339e-30,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-PL%,1.13 [1.11-1.15],1.172e-35,***,Phospholipids to Total-Lipids in Small HDL percentage
Phe,1.10 [1.08-1.11],1.656e-21,***,Phenylalanine
XL-HDL-TG,1.09 [1.08-1.11],5.209e-23,***,Triglycerides in Very Large HDL
VLDL-L,1.09 [1.07-1.11],1.957e-18,***,Total-Lipids in VLDL
XL-VLDL-C,1.08 [1.06-1.09],8.857e-12,***,Cholesterol in Very Large VLDL
L-VLDL-C,1.07 [1.05-1.09],3.735e-09,***,Cholesterol in Large VLDL
SFA,1.06 [1.04-1.08],4.668e-07,***,Saturated Fatty Acids
S-LDL-PL%,1.06 [1.04-1.08],7.554e-05,***,Phospholipids to Total-Lipids in Small LDL percentage
Pyruvate,1.05 [1.04-1.07],7.895e-04,***,Pyruvate
S-VLDL-P,1.05 [1.03-1.06],0.050,*,Concentration of Small VLDL Particles
Acetone,0.95 [0.94-0.97],0.038,*,Acetone
S-HDL-FC,0.94 [0.92-0.96],1.827e-06,***,Free Cholesterol in Small HDL
His,0.94 [0.92-0.95],6.312e-08,***,Histidine
M-VLDL-L,0.94 [0.92-0.95],1.873e-08,***,Total-Lipids in Medium VLDL
S-HDL-P,0.92 [0.90-0.94],4.418e-16,***,Concentration of Small HDL Particles
L-LDL-CE%,0.92 [0.90-0.93],5.246e-20,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
M-HDL-PL,0.92 [0.90-0.93],3.429e-15,***,Phospholipids in Medium HDL
Omega-6/Omega-3,0.91 [0.90-0.93],1.714e-18,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-HDL-C,0.90 [0.88-0.92],6.270e-28,***,Cholesterol in Small HDL
L-VLDL-FC%,0.89 [0.88-0.91],1.361e-30,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-HDL-CE,0.89 [0.88-0.91],2.128e-34,***,Cholesteryl Esters in Small HDL
