Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-TG%,1.99 [1.56-2.55],0.013,*,Triglycerides to Total-Lipids in Very Large VLDL percentage
Glu-lactate,1.98 [1.73-2.27],2.715e-17,***,Glucose-lactate
Glu,1.93 [1.65-2.25],2.735e-11,***,Glucose
S-VLDL-TG%,1.72 [1.43-2.07],0.003,**,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.72 [1.43-2.06],0.002,**,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-TG%,1.72 [1.45-2.03],1.534e-04,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.61 [1.38-1.88],4.583e-04,***,Triglycerides to Total-Lipids in IDL percentage
Sc-ala,1.59 [1.36-1.85],0.001,**,Spectrometer-corrected alanine
L-LDL-TG%,1.57 [1.35-1.83],0.002,**,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.55 [1.34-1.80],0.003,**,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-CE%,0.72 [0.65-0.81],0.004,**,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
IDL-C%,0.70 [0.61-0.79],0.024,*,Cholesterol to Total-Lipids in IDL percentage
M-LDL-C%,0.69 [0.60-0.79],0.018,*,Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-C%,0.68 [0.60-0.78],0.003,**,Cholesterol to Total-Lipids in Medium VLDL percentage
S-LDL-C%,0.67 [0.58-0.77],0.008,**,Cholesterol to Total-Lipids in Small LDL percentage
M-VLDL-FC%,0.66 [0.57-0.76],0.002,**,Free Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-C%,0.66 [0.57-0.76],0.008,**,Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-PL%,0.65 [0.57-0.75],3.600e-04,***,Phospholipids to Total-Lipids in Medium VLDL percentage
XS-VLDL-C%,0.64 [0.56-0.74],2.274e-04,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
S-VLDL-FC%,0.64 [0.55-0.75],0.002,**,Free Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-CE%,0.64 [0.55-0.73],5.047e-05,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
IDL-L,0.63 [0.53-0.75],0.023,*,Total-Lipids in IDL
S-VLDL-PL%,0.62 [0.53-0.73],0.001,**,Phospholipids to Total-Lipids in Small VLDL percentage
IDL-C,0.61 [0.52-0.72],0.004,**,Cholesterol in IDL
IDL-FC,0.61 [0.51-0.73],0.022,*,Free Cholesterol in IDL
IDL-P,0.61 [0.51-0.73],0.042,*,Concentration of IDL Particles
IDL-CE,0.61 [0.51-0.72],0.004,**,Cholesteryl Esters in IDL
M-VLDL-CE,0.61 [0.50-0.73],0.021,*,Cholesteryl Esters in Medium VLDL
XL-VLDL-FC%,0.59 [0.49-0.72],0.027,*,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,0.59 [0.49-0.72],0.035,*,Cholesterol to Total-Lipids in Very Large VLDL percentage
