Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-TG%,2.18 [2.00-2.37],2.512e-66,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XS-VLDL-TG%,2.13 [2.01-2.25],1.399e-139,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,2.11 [1.98-2.25],4.930e-119,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,2.10 [1.97-2.24],7.557e-109,***,Triglycerides to Total-Lipids in Small VLDL percentage
IDL-TG%,1.98 [1.88-2.08],2.967e-139,***,Triglycerides to Total-Lipids in IDL percentage
Glu-lactate,1.96 [1.87-2.05],2.144e-179,***,Glucose-lactate
Glu,1.93 [1.83-2.03],9.901e-133,***,Glucose
L-LDL-TG%,1.87 [1.78-1.97],2.776e-121,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.79 [1.70-1.88],3.774e-109,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.75 [1.65-1.85],7.467e-83,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,1.68 [1.60-1.76],1.314e-89,***,Phospholipids to Total-Lipids in Large HDL percentage
Sc-ala,1.66 [1.58-1.74],3.243e-79,***,Spectrometer-corrected alanine
S-LDL-TG%,1.62 [1.54-1.71],7.816e-68,***,Triglycerides to Total-Lipids in Small LDL percentage
Ala,1.54 [1.46-1.62],2.213e-52,***,Alanine
MUFA%,1.49 [1.40-1.58],8.339e-33,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-TG%,1.47 [1.38-1.56],1.475e-28,***,Triglycerides to Total-Lipids in Large VLDL percentage
XL-HDL-FC%,1.47 [1.38-1.56],1.485e-31,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
IDL-PL%,1.46 [1.38-1.54],1.871e-36,***,Phospholipids to Total-Lipids in IDL percentage
M-HDL-PL%,1.45 [1.37-1.53],9.814e-36,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-TG%,1.39 [1.31-1.48],2.177e-21,***,Triglycerides to Total-Lipids in Small HDL percentage
XL-HDL-TG%,1.37 [1.30-1.45],8.694e-23,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,1.36 [1.28-1.44],1.252e-19,***,Triglycerides to Total-Lipids in Large HDL percentage
TG/PG,1.35 [1.27-1.43],3.260e-18,***,Triglycerides to Phosphoglycerides ratio
XXL-VLDL-PL%,1.34 [1.26-1.43],4.011e-14,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Val,1.31 [1.25-1.39],5.417e-18,***,Valine
S-LDL-PL%,1.29 [1.22-1.37],6.323e-14,***,Phospholipids to Total-Lipids in Small LDL percentage
Total-BCAA,1.27 [1.21-1.34],1.572e-13,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-HDL-TG%,1.26 [1.19-1.34],1.377e-08,***,Triglycerides to Total-Lipids in Medium HDL percentage
Leu,1.22 [1.16-1.29],1.443e-08,***,Leucine
Lactate,1.22 [1.16-1.29],7.748e-07,***,Lactate
VLDL-size,1.21 [1.14-1.28],1.439e-04,***,Average Diameter for VLDL Particles
GlycA,1.21 [1.14-1.28],8.543e-05,***,Glycoprotein Acetyls
Ile,1.19 [1.13-1.25],2.107e-05,***,Isoleucine
M-LDL-PL%,1.17 [1.11-1.24],0.024,*,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-TG,1.16 [1.10-1.23],0.024,*,Triglycerides in Small HDL
XL-HDL-PL%,0.86 [0.82-0.90],1.311e-04,***,Phospholipids to Total-Lipids in Very Large HDL percentage
Gln,0.85 [0.80-0.90],0.002,**,Glutamine
S-HDL-CE%,0.85 [0.80-0.89],3.559e-04,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
S-HDL-PL,0.84 [0.79-0.89],3.532e-04,***,Phospholipids in Small HDL
L-LDL-CE%,0.84 [0.79-0.88],1.887e-06,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
M-HDL-CE%,0.83 [0.79-0.88],2.370e-06,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
VLDL-L,0.83 [0.79-0.88],4.764e-05,***,Total-Lipids in VLDL
L-VLDL-C,0.83 [0.78-0.88],1.332e-04,***,Cholesterol in Large VLDL
L-VLDL-FC%,0.83 [0.78-0.88],2.673e-05,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
Gly,0.82 [0.77-0.88],0.005,**,Glycine
S-VLDL-P,0.82 [0.77-0.87],2.068e-05,***,Concentration of Small VLDL Particles
S-HDL-L,0.82 [0.77-0.87],1.618e-06,***,Total-Lipids in Small HDL
XL-VLDL-C,0.82 [0.77-0.87],1.622e-05,***,Cholesterol in Very Large VLDL
DHA,0.81 [0.76-0.86],1.336e-05,***,Docosahexaenoic Acid
M-HDL-PL,0.79 [0.75-0.85],1.231e-07,***,Phospholipids in Medium HDL
SFA,0.79 [0.75-0.83],1.592e-11,***,Saturated Fatty Acids
S-LDL-FC%,0.78 [0.75-0.82],1.193e-21,***,Free Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-C%,0.78 [0.74-0.82],8.830e-15,***,Cholesterol to Total-Lipids in Small HDL percentage
