Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.09 [0.90-1.32],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Val,1.07 [0.87-1.30],1.000,,Valine
ApoB/ApoA1,1.06 [0.87-1.28],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
ApoB,1.04 [0.86-1.26],1.000,,Apolipoprotein B
Non-HDL-C,1.01 [0.84-1.22],1.000,,Total-Cholesterol Minus HDL-C
LDL-CE,1.00 [0.83-1.21],1.000,,Cholesteryl Esters in LDL
Total-C,0.99 [0.82-1.21],1.000,,Total-Cholesterol
Total-CE,0.99 [0.81-1.20],1.000,,Total-Esterified Cholesterol
M-LDL-FC%,0.95 [0.78-1.16],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-CE,0.94 [0.75-1.17],1.000,,Cholesteryl Esters in HDL
