Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-PL%,1.13 [1.09-1.18],2.538e-06,***,Phospholipids to Total-Lipids in IDL percentage
XS-VLDL-PL%,1.11 [1.07-1.15],0.008,**,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.11 [1.07-1.15],0.019,*,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.10 [1.06-1.14],0.106,,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.09 [1.05-1.13],0.736,,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-C%,0.91 [0.88-0.94],0.026,*,Cholesterol to Total-Lipids in Small LDL percentage
LA,0.91 [0.87-0.94],0.033,*,Linoleic Acid
L-LDL-C%,0.91 [0.87-0.94],0.022,*,Cholesterol to Total-Lipids in Large LDL percentage
Non-HDL-C,0.90 [0.87-0.94],0.009,**,Total-Cholesterol Minus HDL-C
S-LDL-C,0.90 [0.87-0.94],0.020,*,Cholesterol in Small LDL
Total-FC,0.90 [0.87-0.94],0.018,*,Total-Free Cholesterol
M-LDL-L,0.90 [0.87-0.94],0.016,*,Total-Lipids in Medium LDL
M-LDL-C,0.90 [0.87-0.94],0.011,*,Cholesterol in Medium LDL
M-LDL-PL,0.90 [0.87-0.94],0.013,*,Phospholipids in Medium LDL
IDL-L,0.90 [0.87-0.94],0.010,*,Total-Lipids in IDL
LDL-CE,0.90 [0.87-0.93],0.005,**,Cholesteryl Esters in LDL
S-LDL-FC,0.90 [0.87-0.93],0.006,**,Free Cholesterol in Small LDL
IDL-FC,0.90 [0.87-0.93],0.009,**,Free Cholesterol in IDL
L-LDL-CE,0.90 [0.87-0.93],0.005,**,Cholesteryl Esters in Large LDL
LDL-L,0.90 [0.87-0.93],0.002,**,Total-Lipids in LDL
LDL-PL,0.90 [0.87-0.93],0.003,**,Phospholipids in LDL
L-LDL-L,0.90 [0.87-0.93],0.002,**,Total-Lipids in Large LDL
Omega-6,0.90 [0.87-0.93],0.005,**,Omega-6 Fatty Acids
LDL-C,0.90 [0.87-0.93],0.001,**,LDL Cholesterol
L-LDL-PL,0.90 [0.87-0.93],0.002,**,Phospholipids in Large LDL
L-LDL-C,0.90 [0.87-0.93],0.001,**,Cholesterol in Large LDL
Clinical LDL-C,0.90 [0.87-0.93],5.069e-04,***,Clinical LDL Cholesterol
Total-C,0.90 [0.86-0.93],6.427e-04,***,Total-Cholesterol
M-LDL-FC,0.89 [0.86-0.93],8.122e-04,***,Free Cholesterol in Medium LDL
PUFA,0.89 [0.86-0.93],0.002,**,Polyunsaturated Fatty Acids
IDL-C,0.89 [0.86-0.93],6.444e-04,***,Cholesterol in IDL
IDL-C%,0.89 [0.86-0.93],5.426e-05,***,Cholesterol to Total-Lipids in IDL percentage
IDL-CE,0.89 [0.86-0.93],4.139e-04,***,Cholesteryl Esters in IDL
Total-CE,0.89 [0.86-0.93],2.773e-04,***,Total-Esterified Cholesterol
LDL-FC,0.89 [0.86-0.93],2.455e-04,***,Free Cholesterol in LDL
L-LDL-FC,0.89 [0.86-0.92],2.190e-04,***,Free Cholesterol in Large LDL
IDL-CE%,0.89 [0.86-0.92],1.289e-05,***,Cholesteryl Esters to Total-Lipids in IDL percentage
