Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-TG%,1.10 [1.01-1.20],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
M-HDL-PL%,1.09 [1.00-1.19],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
L-VLDL-PL%,1.06 [0.97-1.16],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
M-LDL-PL%,1.02 [0.94-1.11],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-VLDL-FC%,1.02 [0.94-1.11],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
VLDL-C,0.99 [0.91-1.07],1.000,,VLDL Cholesterol
LDL-CE,0.94 [0.86-1.02],1.000,,Cholesteryl Esters in LDL
M-LDL-FC%,0.94 [0.86-1.02],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Total-CE,0.92 [0.85-1.00],1.000,,Total-Esterified Cholesterol
HDL-CE,0.92 [0.84-1.01],1.000,,Cholesteryl Esters in HDL
