Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Gly,1.29 [1.14-1.45],1.000,,Glycine
M-LDL-TG%,1.19 [1.07-1.33],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Omega-6/Omega-3,1.11 [0.99-1.25],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Ile,1.08 [0.96-1.21],1.000,,Isoleucine
Phe,1.06 [0.95-1.19],1.000,,Phenylalanine
VLDL-C,0.93 [0.83-1.04],1.000,,VLDL Cholesterol
M-LDL-FC%,0.88 [0.79-0.99],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Remnant-C,0.87 [0.78-0.98],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.86 [0.77-0.96],1.000,,Total-Cholesterol Minus HDL-C
Total-C,0.84 [0.75-0.94],1.000,,Total-Cholesterol
