Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.12 [1.05-1.20],1.000,,Triglycerides to Total-Lipids in IDL percentage
TG/PG,1.08 [1.00-1.15],1.000,,Triglycerides to Phosphoglycerides ratio
IDL-PL%,1.07 [1.01-1.14],1.000,,Phospholipids to Total-Lipids in IDL percentage
M-LDL-PL%,1.03 [0.97-1.10],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
XXL-VLDL-TG,1.02 [0.96-1.09],1.000,,Triglycerides in Chylomicrons and Extremely Large VLDL
VLDL-C,0.95 [0.89-1.01],1.000,,VLDL Cholesterol
M-LDL-FC%,0.94 [0.88-1.00],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-CE,0.91 [0.85-0.97],1.000,,Cholesteryl Esters in LDL
HDL-CE,0.89 [0.83-0.96],1.000,,Cholesteryl Esters in HDL
Total-CE,0.88 [0.83-0.94],1.000,,Total-Esterified Cholesterol
