Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.17 [1.15-1.20],1.053e-39,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-PL%,1.16 [1.14-1.19],2.592e-33,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.16 [1.13-1.18],4.366e-35,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-TG%,1.16 [1.13-1.19],3.141e-33,***,Triglycerides to Total-Lipids in IDL percentage
IDL-PL%,1.14 [1.11-1.16],3.837e-25,***,Phospholipids to Total-Lipids in IDL percentage
S-LDL-PL%,1.13 [1.11-1.16],8.760e-23,***,Phospholipids to Total-Lipids in Small LDL percentage
XS-VLDL-TG%,1.11 [1.09-1.14],5.243e-14,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.09 [1.07-1.12],6.288e-09,***,Triglycerides to Total-Lipids in Small VLDL percentage
Omega-6/Omega-3,1.09 [1.07-1.12],5.015e-09,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-HDL-PL%,1.08 [1.06-1.11],5.371e-06,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-TG%,1.08 [1.06-1.11],8.942e-07,***,Triglycerides to Total-Lipids in Small LDL percentage
MUFA%,1.08 [1.05-1.11],1.006e-04,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-VLDL-TG%,1.08 [1.05-1.10],1.930e-04,***,Triglycerides to Total-Lipids in Medium VLDL percentage
Creatinine,1.07 [1.05-1.10],0.004,**,Creatinine
S-HDL-PL%,1.07 [1.04-1.09],0.008,**,Phospholipids to Total-Lipids in Small HDL percentage
DHA%,0.94 [0.92-0.96],0.014,*,Docosahexaenoic Acid to Total-Fatty Acids percentage
XXL-VLDL-C,0.94 [0.91-0.96],0.019,*,Cholesterol in Chylomicrons and Extremely Large VLDL
XS-VLDL-FC%,0.94 [0.92-0.96],2.147e-04,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-CE%,0.94 [0.92-0.96],1.457e-04,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XL-VLDL-TG,0.94 [0.91-0.96],0.011,*,Triglycerides in Very Large VLDL
S-HDL-C%,0.94 [0.91-0.96],9.545e-04,***,Cholesterol to Total-Lipids in Small HDL percentage
PUFA/MUFA,0.93 [0.91-0.96],0.005,**,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XXL-VLDL-CE,0.93 [0.91-0.95],0.002,**,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
MUFA,0.93 [0.91-0.95],9.470e-04,***,Monounsaturated Fatty Acids
His,0.93 [0.91-0.95],3.247e-04,***,Histidine
Leu,0.93 [0.91-0.95],9.417e-04,***,Leucine
