Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.43 [1.30-1.57],9.531e-09,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-LDL-TG%,1.42 [1.29-1.56],1.392e-07,***,Triglycerides to Total-Lipids in Large LDL percentage
S-HDL-PL%,1.40 [1.26-1.55],5.322e-05,***,Phospholipids to Total-Lipids in Small HDL percentage
Tyr,1.40 [1.28-1.53],6.024e-08,***,Tyrosine
IDL-PL%,1.33 [1.20-1.47],0.005,**,Phospholipids to Total-Lipids in IDL percentage
L-HDL-TG,1.32 [1.21-1.45],0.001,**,Triglycerides in Large HDL
IDL-TG%,1.31 [1.19-1.45],0.009,**,Triglycerides to Total-Lipids in IDL percentage
L-LDL-CE%,0.77 [0.71-0.85],0.019,*,Cholesteryl Esters to Total-Lipids in Large LDL percentage
IDL-C%,0.75 [0.69-0.82],1.081e-05,***,Cholesterol to Total-Lipids in IDL percentage
M-LDL-C%,0.74 [0.68-0.80],6.140e-07,***,Cholesterol to Total-Lipids in Medium LDL percentage
IDL-CE%,0.74 [0.67-0.80],1.391e-06,***,Cholesteryl Esters to Total-Lipids in IDL percentage
S-HDL-P,0.73 [0.66-0.81],6.992e-04,***,Concentration of Small HDL Particles
S-LDL-C%,0.73 [0.67-0.80],4.920e-07,***,Cholesterol to Total-Lipids in Small LDL percentage
L-LDL-C%,0.73 [0.67-0.80],1.074e-06,***,Cholesterol to Total-Lipids in Large LDL percentage
S-HDL-C,0.72 [0.65-0.80],9.433e-05,***,Cholesterol in Small HDL
XL-HDL-CE%,0.72 [0.66-0.78],5.087e-08,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
S-HDL-C%,0.71 [0.64-0.78],1.052e-07,***,Cholesterol to Total-Lipids in Small HDL percentage
S-HDL-CE,0.69 [0.62-0.76],1.625e-07,***,Cholesteryl Esters in Small HDL
S-HDL-CE%,0.69 [0.63-0.75],2.745e-11,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XL-HDL-C%,0.66 [0.59-0.73],2.274e-08,***,Cholesterol to Total-Lipids in Very Large HDL percentage
