Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.02 [0.88-1.17],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
SFA%,1.02 [0.89-1.16],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
Citrate,1.00 [0.88-1.15],1.000,,Citrate
HDL-FC,1.00 [0.86-1.17],1.000,,Free Cholesterol in HDL
M-LDL-PL%,1.00 [0.88-1.14],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-LDL-FC%,1.00 [0.87-1.15],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
ApoA1,1.00 [0.87-1.15],1.000,,Apolipoprotein A1
ApoB/ApoA1,0.99 [0.86-1.13],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
Val,0.99 [0.86-1.13],1.000,,Valine
ApoB,0.98 [0.86-1.12],1.000,,Apolipoprotein B
