Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.25 [1.18-1.32],4.274e-10,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-PL%,1.23 [1.17-1.29],3.167e-09,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-TG%,1.23 [1.16-1.29],6.225e-08,***,Triglycerides to Total-Lipids in Small HDL percentage
TG/PG,1.22 [1.16-1.29],1.342e-07,***,Triglycerides to Phosphoglycerides ratio
L-VLDL-PL%,1.21 [1.14-1.29],7.083e-04,***,Phospholipids to Total-Lipids in Large VLDL percentage
M-HDL-TG%,1.20 [1.14-1.27],8.908e-06,***,Triglycerides to Total-Lipids in Medium HDL percentage
XS-VLDL-PL%,1.20 [1.14-1.27],9.206e-07,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-HDL-TG%,1.19 [1.13-1.26],1.664e-05,***,Triglycerides to Total-Lipids in Large HDL percentage
IDL-TG%,1.19 [1.13-1.25],2.486e-06,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.18 [1.12-1.24],1.972e-05,***,Triglycerides to Total-Lipids in Large LDL percentage
M-VLDL-TG%,1.18 [1.12-1.25],4.100e-04,***,Triglycerides to Total-Lipids in Medium VLDL percentage
VLDL-size,1.18 [1.12-1.25],0.001,**,Average Diameter for VLDL Particles
XL-HDL-FC%,1.18 [1.11-1.25],0.004,**,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XS-VLDL-TG%,1.18 [1.12-1.24],2.641e-04,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
GlycA,1.18 [1.11-1.24],7.053e-04,***,Glycoprotein Acetyls
S-LDL-TG%,1.17 [1.11-1.23],3.078e-04,***,Triglycerides to Total-Lipids in Small LDL percentage
XL-HDL-TG%,1.16 [1.10-1.22],0.008,**,Triglycerides to Total-Lipids in Very Large HDL percentage
M-LDL-TG%,1.16 [1.10-1.22],0.001,**,Triglycerides to Total-Lipids in Medium LDL percentage
XXL-VLDL-PL,1.14 [1.09-1.20],0.041,*,Phospholipids in Chylomicrons and Extremely Large VLDL
M-VLDL-CE%,0.88 [0.84-0.92],0.025,*,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-LDL-FC%,0.88 [0.84-0.92],0.004,**,Free Cholesterol to Total-Lipids in Small LDL percentage
M-VLDL-FC%,0.87 [0.83-0.92],0.013,*,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.87 [0.83-0.91],0.004,**,Cholesterol to Total-Lipids in Medium VLDL percentage
IDL-CE%,0.87 [0.83-0.91],0.002,**,Cholesteryl Esters to Total-Lipids in IDL percentage
PUFA%,0.86 [0.82-0.91],0.003,**,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-CE%,0.86 [0.82-0.90],7.546e-05,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-HDL-L,0.86 [0.81-0.91],0.030,*,Total-Lipids in Medium HDL
IDL-C%,0.86 [0.82-0.90],4.646e-05,***,Cholesterol to Total-Lipids in IDL percentage
DHA%,0.86 [0.81-0.90],0.004,**,Docosahexaenoic Acid to Total-Fatty Acids percentage
S-VLDL-FC%,0.86 [0.82-0.90],3.795e-04,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-C%,0.86 [0.81-0.90],1.322e-04,***,Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-C%,0.86 [0.82-0.90],2.716e-05,***,Cholesterol to Total-Lipids in Large HDL percentage
XS-VLDL-C%,0.85 [0.81-0.90],8.957e-05,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
S-VLDL-PL%,0.85 [0.81-0.90],2.877e-04,***,Phospholipids to Total-Lipids in Small VLDL percentage
XL-VLDL-C%,0.85 [0.81-0.90],0.005,**,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-HDL-CE%,0.85 [0.81-0.89],3.812e-05,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
XS-VLDL-CE%,0.85 [0.81-0.89],3.223e-05,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XL-VLDL-CE%,0.85 [0.81-0.90],0.002,**,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-LDL-FC%,0.85 [0.81-0.89],1.198e-05,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-LDL-FC%,0.85 [0.81-0.89],1.403e-05,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
Unsaturation,0.85 [0.80-0.89],2.210e-04,***,Degree of Unsaturation
Total-P,0.84 [0.80-0.89],4.158e-04,***,Total-Concentration of Lipoprotein Particles
HDL-PL,0.84 [0.79-0.89],0.001,**,Phospholipids in HDL
HDL-P,0.84 [0.79-0.89],2.391e-04,***,Concentration of HDL Particles
M-HDL-P,0.84 [0.79-0.89],8.055e-04,***,Concentration of Medium HDL Particles
ApoA1,0.84 [0.79-0.88],1.546e-04,***,Apolipoprotein A1
XL-HDL-PL,0.83 [0.78-0.89],0.005,**,Phospholipids in Very Large HDL
M-HDL-FC,0.83 [0.78-0.88],5.518e-05,***,Free Cholesterol in Medium HDL
M-HDL-CE,0.83 [0.78-0.87],8.132e-06,***,Cholesteryl Esters in Medium HDL
M-HDL-C,0.83 [0.78-0.87],9.065e-06,***,Cholesterol in Medium HDL
M-HDL-C%,0.82 [0.78-0.87],1.553e-08,***,Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-L,0.82 [0.77-0.88],9.151e-04,***,Total-Lipids in Very Large HDL
XL-HDL-P,0.82 [0.77-0.88],0.001,**,Concentration of Very Large HDL Particles
HDL-L,0.82 [0.78-0.87],1.111e-05,***,Total-Lipids in HDL
PUFA/MUFA,0.82 [0.78-0.86],9.179e-08,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
HDL-size,0.82 [0.77-0.87],1.587e-04,***,Average Diameter for HDL Particles
M-HDL-FC%,0.81 [0.77-0.85],3.849e-09,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-C,0.81 [0.76-0.86],1.891e-05,***,Cholesterol in Very Large HDL
HDL-FC,0.80 [0.75-0.85],1.524e-07,***,Free Cholesterol in HDL
L-HDL-PL,0.80 [0.75-0.85],9.252e-07,***,Phospholipids in Large HDL
XL-HDL-CE,0.79 [0.74-0.85],1.332e-06,***,Cholesteryl Esters in Very Large HDL
L-HDL-L,0.79 [0.74-0.84],8.571e-08,***,Total-Lipids in Large HDL
HDL-C,0.78 [0.74-0.83],3.930e-10,***,HDL Cholesterol
HDL-CE,0.78 [0.74-0.83],1.794e-10,***,Cholesteryl Esters in HDL
L-HDL-FC,0.78 [0.73-0.83],1.198e-07,***,Free Cholesterol in Large HDL
L-HDL-P,0.77 [0.72-0.83],4.060e-08,***,Concentration of Large HDL Particles
