Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,1.12 [1.11-1.14],2.216e-43,***,Glycoprotein Acetyls
MUFA%,1.11 [1.09-1.13],9.290e-30,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6/Omega-3,1.08 [1.06-1.09],4.545e-16,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XL-HDL-FC%,1.07 [1.05-1.09],2.121e-09,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XS-VLDL-TG%,1.07 [1.05-1.09],2.859e-12,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,1.07 [1.05-1.08],5.185e-11,***,Triglycerides to Total-Lipids in Medium VLDL percentage
IDL-TG%,1.07 [1.05-1.08],6.785e-11,***,Triglycerides to Total-Lipids in IDL percentage
XL-HDL-TG%,1.06 [1.04-1.08],1.402e-07,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-VLDL-PL%,1.06 [1.04-1.08],2.086e-06,***,Phospholipids to Total-Lipids in Large VLDL percentage
XS-VLDL-PL%,1.06 [1.04-1.07],1.529e-07,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.06 [1.04-1.07],2.754e-06,***,Phospholipids to Total-Lipids in Medium HDL percentage
TG/PG,1.06 [1.04-1.07],9.178e-06,***,Triglycerides to Phosphoglycerides ratio
L-LDL-TG%,1.05 [1.04-1.07],1.303e-06,***,Triglycerides to Total-Lipids in Large LDL percentage
Creatinine,1.05 [1.04-1.07],2.595e-04,***,Creatinine
XL-VLDL-TG%,1.05 [1.04-1.07],2.968e-05,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-HDL-TG%,1.05 [1.04-1.07],1.630e-05,***,Triglycerides to Total-Lipids in Small HDL percentage
S-VLDL-TG%,1.05 [1.04-1.07],2.177e-05,***,Triglycerides to Total-Lipids in Small VLDL percentage
VLDL-size,1.05 [1.03-1.07],5.954e-04,***,Average Diameter for VLDL Particles
L-HDL-TG%,1.05 [1.03-1.07],5.236e-04,***,Triglycerides to Total-Lipids in Large HDL percentage
L-HDL-PL%,1.05 [1.03-1.07],5.216e-04,***,Phospholipids to Total-Lipids in Large HDL percentage
S-LDL-TG%,1.05 [1.03-1.06],3.652e-04,***,Triglycerides to Total-Lipids in Small LDL percentage
M-HDL-TG%,1.05 [1.03-1.06],0.007,**,Triglycerides to Total-Lipids in Medium HDL percentage
M-LDL-TG%,1.04 [1.03-1.06],0.002,**,Triglycerides to Total-Lipids in Medium LDL percentage
Clinical LDL-C,0.96 [0.95-0.98],0.030,*,Clinical LDL Cholesterol
L-LDL-L,0.96 [0.95-0.97],0.026,*,Total-Lipids in Large LDL
L-LDL-PL,0.96 [0.95-0.97],0.022,*,Phospholipids in Large LDL
IDL-P,0.96 [0.95-0.97],0.011,*,Concentration of IDL Particles
IDL-FC%,0.96 [0.95-0.97],0.005,**,Free Cholesterol to Total-Lipids in IDL percentage
L-LDL-C,0.96 [0.94-0.97],0.005,**,Cholesterol in Large LDL
PUFA,0.96 [0.94-0.97],0.010,*,Polyunsaturated Fatty Acids
M-LDL-FC%,0.96 [0.94-0.97],0.007,**,Free Cholesterol to Total-Lipids in Medium LDL percentage
Total-BCAA,0.96 [0.94-0.97],0.014,*,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
HDL-P,0.96 [0.94-0.97],0.020,*,Concentration of HDL Particles
S-VLDL-C%,0.96 [0.94-0.97],0.002,**,Cholesterol to Total-Lipids in Small VLDL percentage
IDL-CE%,0.96 [0.94-0.97],7.706e-04,***,Cholesteryl Esters to Total-Lipids in IDL percentage
XS-VLDL-C,0.96 [0.94-0.97],0.002,**,Cholesterol in Very Small VLDL
LDL-FC,0.96 [0.94-0.97],6.118e-04,***,Free Cholesterol in LDL
L-VLDL-CE%,0.96 [0.94-0.97],0.002,**,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-HDL-P,0.96 [0.94-0.97],0.007,**,Concentration of Medium HDL Particles
Total-P,0.95 [0.94-0.97],0.002,**,Total-Concentration of Lipoprotein Particles
M-HDL-CE,0.95 [0.94-0.97],0.004,**,Cholesteryl Esters in Medium HDL
SM,0.95 [0.94-0.97],0.001,**,Sphingomyelins
M-LDL-C%,0.95 [0.94-0.97],4.885e-05,***,Cholesterol to Total-Lipids in Medium LDL percentage
Phosphoglyc,0.95 [0.94-0.97],9.073e-04,***,Phosphoglycerides
XL-HDL-PL%,0.95 [0.94-0.97],4.545e-04,***,Phospholipids to Total-Lipids in Very Large HDL percentage
M-HDL-C%,0.95 [0.94-0.97],3.734e-04,***,Cholesterol to Total-Lipids in Medium HDL percentage
Total-FC,0.95 [0.94-0.97],8.807e-05,***,Total-Free Cholesterol
M-HDL-C,0.95 [0.94-0.97],8.182e-04,***,Cholesterol in Medium HDL
L-HDL-C%,0.95 [0.94-0.97],1.011e-04,***,Cholesterol to Total-Lipids in Large HDL percentage
XL-VLDL-CE%,0.95 [0.94-0.97],2.299e-04,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
Total-PL,0.95 [0.94-0.97],5.095e-05,***,Total-Phospholipids in Lipoprotein Particles
