Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.32 [1.29-1.36],2.788e-89,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.30 [1.27-1.34],1.030e-77,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.29 [1.26-1.32],1.155e-76,***,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA%,1.26 [1.22-1.30],2.380e-47,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-TG%,1.26 [1.22-1.29],8.348e-52,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.26 [1.22-1.29],1.764e-58,***,Triglycerides to Total-Lipids in Small LDL percentage
L-HDL-PL%,1.26 [1.22-1.29],2.444e-56,***,Phospholipids to Total-Lipids in Large HDL percentage
M-HDL-PL%,1.25 [1.21-1.28],1.433e-49,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-TG%,1.23 [1.20-1.27],7.063e-40,***,Triglycerides to Total-Lipids in Small HDL percentage
M-HDL-TG%,1.21 [1.18-1.25],1.349e-32,***,Triglycerides to Total-Lipids in Medium HDL percentage
S-VLDL-TG%,1.21 [1.18-1.25],5.648e-33,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.21 [1.17-1.24],4.644e-32,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-HDL-TG%,1.21 [1.17-1.24],1.230e-32,***,Triglycerides to Total-Lipids in Large HDL percentage
L-VLDL-PL%,1.20 [1.16-1.24],8.325e-21,***,Phospholipids to Total-Lipids in Large VLDL percentage
SFA%,1.20 [1.17-1.23],1.486e-33,***,Saturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-TG%,1.19 [1.16-1.23],1.270e-28,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XL-VLDL-TG%,1.19 [1.15-1.23],2.998e-19,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-HDL-TG,1.18 [1.15-1.22],1.096e-29,***,Triglycerides in Small HDL
XS-VLDL-PL%,1.18 [1.15-1.22],2.031e-26,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
TG/PG,1.18 [1.14-1.21],5.282e-22,***,Triglycerides to Phosphoglycerides ratio
M-HDL-TG,1.16 [1.13-1.19],1.416e-23,***,Triglycerides in Medium HDL
HDL-TG,1.16 [1.13-1.19],1.353e-22,***,Triglycerides in HDL
XS-VLDL-TG,1.16 [1.13-1.19],1.761e-22,***,Triglycerides in Very Small VLDL
IDL-TG,1.14 [1.11-1.17],1.113e-18,***,Triglycerides in IDL
