Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-LDL-PL%,1.25 [1.15-1.35],0.012,*,Phospholipids to Total-Lipids in Small LDL percentage
L-LDL-TG%,1.15 [1.06-1.24],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
L-LDL-PL%,1.07 [0.99-1.15],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
L-HDL-PL%,1.04 [0.96-1.14],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-FC%,1.01 [0.93-1.10],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Non-HDL-C,0.81 [0.74-0.87],0.019,*,Total-Cholesterol Minus HDL-C
Total-L,0.80 [0.74-0.87],0.029,*,Total-Lipids in Lipoprotein Particles
S-HDL-L,0.80 [0.74-0.87],0.038,*,Total-Lipids in Small HDL
Clinical LDL-C,0.80 [0.74-0.87],0.007,**,Clinical LDL Cholesterol
Total-C,0.80 [0.74-0.87],0.018,*,Total-Cholesterol
S-LDL-CE%,0.80 [0.74-0.87],0.009,**,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-LDL-L,0.80 [0.74-0.87],0.029,*,Total-Lipids in Small LDL
L-LDL-FC,0.80 [0.74-0.87],0.025,*,Free Cholesterol in Large LDL
Total-CE,0.80 [0.74-0.87],0.016,*,Total-Esterified Cholesterol
LDL-FC,0.80 [0.74-0.86],0.012,*,Free Cholesterol in LDL
M-LDL-P,0.80 [0.73-0.87],0.029,*,Concentration of Medium LDL Particles
L-LDL-PL,0.80 [0.73-0.86],0.010,**,Phospholipids in Large LDL
LDL-PL,0.80 [0.73-0.86],0.007,**,Phospholipids in LDL
L-LDL-L,0.79 [0.73-0.86],0.005,**,Total-Lipids in Large LDL
S-LDL-C%,0.79 [0.74-0.85],2.585e-04,***,Cholesterol to Total-Lipids in Small LDL percentage
LDL-L,0.79 [0.73-0.86],0.002,**,Total-Lipids in LDL
L-LDL-C,0.79 [0.73-0.86],0.004,**,Cholesterol in Large LDL
S-LDL-C,0.79 [0.73-0.86],0.005,**,Cholesterol in Small LDL
L-LDL-CE,0.79 [0.73-0.86],0.003,**,Cholesteryl Esters in Large LDL
LDL-C,0.79 [0.73-0.85],0.001,**,LDL Cholesterol
S-HDL-CE,0.79 [0.73-0.85],0.002,**,Cholesteryl Esters in Small HDL
M-LDL-FC,0.79 [0.73-0.85],0.002,**,Free Cholesterol in Medium LDL
S-LDL-CE,0.79 [0.72-0.85],0.004,**,Cholesteryl Esters in Small LDL
LDL-CE,0.79 [0.73-0.85],8.459e-04,***,Cholesteryl Esters in LDL
S-HDL-C,0.78 [0.72-0.85],0.001,**,Cholesterol in Small HDL
M-LDL-PL,0.78 [0.72-0.85],0.002,**,Phospholipids in Medium LDL
M-LDL-L,0.78 [0.72-0.85],6.840e-04,***,Total-Lipids in Medium LDL
M-LDL-C,0.78 [0.72-0.84],4.341e-04,***,Cholesterol in Medium LDL
M-LDL-CE,0.78 [0.72-0.84],5.685e-04,***,Cholesteryl Esters in Medium LDL
S-HDL-P,0.78 [0.72-0.84],5.430e-04,***,Concentration of Small HDL Particles
