Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.14 [1.11-1.17],9.397e-16,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-LDL-TG%,1.14 [1.11-1.17],5.984e-15,***,Triglycerides to Total-Lipids in Large LDL percentage
S-HDL-PL%,1.13 [1.10-1.16],2.563e-10,***,Phospholipids to Total-Lipids in Small HDL percentage
S-LDL-PL%,1.11 [1.08-1.14],1.476e-07,***,Phospholipids to Total-Lipids in Small LDL percentage
IDL-TG%,1.11 [1.08-1.14],5.137e-07,***,Triglycerides to Total-Lipids in IDL percentage
HDL-size,1.11 [1.07-1.14],0.002,**,Average Diameter for HDL Particles
XL-HDL-PL%,1.09 [1.06-1.13],0.005,**,Phospholipids to Total-Lipids in Very Large HDL percentage
XS-VLDL-PL%,1.09 [1.06-1.12],9.682e-04,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-PL%,1.08 [1.05-1.11],0.005,**,Phospholipids to Total-Lipids in IDL percentage
XXL-VLDL-C,0.92 [0.90-0.95],0.037,*,Cholesterol in Chylomicrons and Extremely Large VLDL
S-VLDL-FC%,0.92 [0.90-0.95],0.008,**,Free Cholesterol to Total-Lipids in Small VLDL percentage
Omega-3%,0.92 [0.90-0.95],0.028,*,Omega-3 Fatty Acids to Total-Fatty Acids percentage
S-VLDL-PL%,0.92 [0.90-0.95],0.010,*,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-TG,0.92 [0.90-0.95],0.018,*,Triglycerides in Small VLDL
SFA,0.92 [0.90-0.95],0.007,**,Saturated Fatty Acids
XS-VLDL-C,0.92 [0.89-0.95],0.007,**,Cholesterol in Very Small VLDL
XL-HDL-CE%,0.92 [0.90-0.95],1.659e-04,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Phosphoglyc,0.92 [0.89-0.95],0.008,**,Phosphoglycerides
XS-VLDL-CE,0.92 [0.89-0.95],0.004,**,Cholesteryl Esters in Very Small VLDL
S-HDL-L,0.92 [0.89-0.95],0.002,**,Total-Lipids in Small HDL
XXL-VLDL-CE,0.92 [0.89-0.94],0.003,**,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
S-HDL-FC,0.92 [0.89-0.94],0.001,**,Free Cholesterol in Small HDL
SM,0.92 [0.89-0.94],0.003,**,Sphingomyelins
PC,0.92 [0.89-0.94],0.003,**,Phosphatidylcholines
XL-HDL-C%,0.91 [0.89-0.94],1.830e-04,***,Cholesterol to Total-Lipids in Very Large HDL percentage
Cholines,0.91 [0.89-0.94],3.444e-04,***,Total-Cholines
IDL-C%,0.91 [0.89-0.94],5.165e-07,***,Cholesterol to Total-Lipids in IDL percentage
Total-TG,0.91 [0.88-0.94],7.826e-05,***,Total-Triglycerides
XL-VLDL-TG,0.91 [0.88-0.93],2.788e-05,***,Triglycerides in Very Large VLDL
IDL-CE%,0.91 [0.88-0.93],3.252e-08,***,Cholesteryl Esters to Total-Lipids in IDL percentage
DHA,0.90 [0.87-0.93],6.895e-06,***,Docosahexaenoic Acid
Total-FA,0.90 [0.87-0.93],8.539e-08,***,Total-Fatty Acids
S-HDL-C,0.90 [0.87-0.93],1.182e-07,***,Cholesterol in Small HDL
Total-PL,0.90 [0.87-0.93],1.586e-07,***,Total-Phospholipids in Lipoprotein Particles
S-HDL-CE,0.90 [0.87-0.92],6.785e-08,***,Cholesteryl Esters in Small HDL
XL-VLDL-P,0.90 [0.87-0.92],3.796e-07,***,Concentration of Very Large VLDL Particles
VLDL-TG,0.90 [0.87-0.92],1.324e-07,***,Triglycerides in VLDL
IDL-PL,0.90 [0.87-0.92],2.093e-08,***,Phospholipids in IDL
XL-VLDL-PL,0.89 [0.87-0.92],5.834e-08,***,Phospholipids in Very Large VLDL
XL-VLDL-L,0.89 [0.87-0.92],4.984e-08,***,Total-Lipids in Very Large VLDL
S-HDL-P,0.89 [0.87-0.92],7.618e-09,***,Concentration of Small HDL Particles
S-LDL-CE%,0.89 [0.87-0.92],1.635e-09,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Omega-3,0.89 [0.86-0.92],1.842e-08,***,Omega-3 Fatty Acids
IDL-P,0.89 [0.87-0.92],3.599e-10,***,Concentration of IDL Particles
XL-VLDL-FC,0.89 [0.86-0.92],4.594e-09,***,Free Cholesterol in Very Large VLDL
IDL-FC,0.89 [0.87-0.92],5.592e-10,***,Free Cholesterol in IDL
IDL-L,0.89 [0.87-0.92],1.734e-10,***,Total-Lipids in IDL
S-VLDL-P,0.89 [0.86-0.92],1.399e-09,***,Concentration of Small VLDL Particles
S-VLDL-CE,0.89 [0.86-0.91],1.300e-10,***,Cholesteryl Esters in Small VLDL
L-VLDL-PL,0.89 [0.86-0.91],5.766e-10,***,Phospholipids in Large VLDL
Albumin,0.89 [0.86-0.91],2.563e-12,***,Albumin
IDL-C,0.89 [0.86-0.91],7.897e-12,***,Cholesterol in IDL
IDL-CE,0.88 [0.86-0.91],3.876e-12,***,Cholesteryl Esters in IDL
VLDL-P,0.88 [0.86-0.91],2.035e-11,***,Concentration of VLDL Particles
ApoB/ApoA1,0.88 [0.86-0.91],1.206e-11,***,Apolipoprotein B to Apolipoprotein A1 ratio
L-VLDL-P,0.88 [0.86-0.91],1.461e-10,***,Concentration of Large VLDL Particles
S-VLDL-L,0.88 [0.86-0.91],1.582e-11,***,Total-Lipids in Small VLDL
VLDL-PL,0.88 [0.85-0.91],1.112e-12,***,Phospholipids in VLDL
VLDL-L,0.88 [0.85-0.90],3.117e-13,***,Total-Lipids in VLDL
VLDL-size,0.88 [0.85-0.91],1.208e-11,***,Average Diameter for VLDL Particles
L-VLDL-TG,0.88 [0.85-0.90],3.441e-12,***,Triglycerides in Large VLDL
S-VLDL-C,0.88 [0.85-0.90],2.382e-13,***,Cholesterol in Small VLDL
L-VLDL-FC,0.88 [0.85-0.90],1.368e-12,***,Free Cholesterol in Large VLDL
VLDL-CE,0.88 [0.85-0.90],8.577e-15,***,Cholesteryl Esters in VLDL
XL-VLDL-C,0.87 [0.85-0.90],2.015e-13,***,Cholesterol in Very Large VLDL
Total-L,0.87 [0.85-0.90],4.666e-16,***,Total-Lipids in Lipoprotein Particles
L-VLDL-L,0.87 [0.85-0.90],1.438e-13,***,Total-Lipids in Large VLDL
LA,0.87 [0.85-0.90],1.228e-15,***,Linoleic Acid
Omega-6,0.87 [0.85-0.90],3.171e-15,***,Omega-6 Fatty Acids
M-VLDL-TG,0.87 [0.85-0.90],3.493e-14,***,Triglycerides in Medium VLDL
S-LDL-C%,0.87 [0.85-0.90],1.352e-18,***,Cholesterol to Total-Lipids in Small LDL percentage
Total-CE,0.87 [0.85-0.90],2.994e-16,***,Total-Esterified Cholesterol
M-VLDL-CE,0.87 [0.85-0.90],1.379e-15,***,Cholesteryl Esters in Medium VLDL
VLDL-C,0.87 [0.85-0.90],5.986e-16,***,VLDL Cholesterol
VLDL-FC,0.87 [0.85-0.90],2.693e-15,***,Free Cholesterol in VLDL
Remnant-C,0.87 [0.85-0.90],4.681e-17,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
L-LDL-C%,0.87 [0.85-0.89],1.187e-18,***,Cholesterol to Total-Lipids in Large LDL percentage
Total-C,0.87 [0.85-0.90],5.037e-17,***,Total-Cholesterol
S-VLDL-PL,0.87 [0.84-0.90],9.428e-16,***,Phospholipids in Small VLDL
M-LDL-C%,0.87 [0.85-0.89],2.495e-21,***,Cholesterol to Total-Lipids in Medium LDL percentage
