Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL%,1.13 [0.99-1.27],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
L-VLDL-PL%,1.12 [0.99-1.27],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
M-LDL-TG%,1.12 [1.00-1.25],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
L-VLDL-FC%,1.08 [0.96-1.21],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
L-VLDL-CE%,1.02 [0.90-1.15],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
Creatinine,0.99 [0.86-1.14],1.000,,Creatinine
HDL-FC,0.97 [0.86-1.11],1.000,,Free Cholesterol in HDL
Unsaturation,0.97 [0.86-1.10],1.000,,Degree of Unsaturation
M-LDL-FC%,0.90 [0.80-1.02],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Albumin,0.90 [0.81-1.01],1.000,,Albumin
