Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Tyr,1.07 [0.94-1.22],1.000,,Tyrosine
M-LDL-PL%,1.07 [0.93-1.22],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Ile,1.03 [0.90-1.18],1.000,,Isoleucine
Leu,1.01 [0.88-1.16],1.000,,Leucine
Total-BCAA,1.01 [0.88-1.16],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
VLDL-C,0.98 [0.86-1.12],1.000,,VLDL Cholesterol
M-LDL-FC%,0.97 [0.84-1.11],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-CE,0.95 [0.83-1.08],1.000,,Cholesteryl Esters in LDL
Total-CE,0.90 [0.78-1.03],1.000,,Total-Esterified Cholesterol
HDL-CE,0.82 [0.70-0.96],1.000,,Cholesteryl Esters in HDL
