Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.15 [1.13-1.17],1.461e-49,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.14 [1.13-1.16],9.207e-47,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,1.14 [1.12-1.16],1.641e-38,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,1.13 [1.11-1.15],2.373e-37,***,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-TG%,1.13 [1.11-1.15],9.464e-40,***,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA%,1.13 [1.11-1.15],5.684e-29,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
GlycA,1.12 [1.10-1.14],1.207e-28,***,Glycoprotein Acetyls
M-VLDL-TG%,1.12 [1.10-1.14],1.099e-27,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,1.12 [1.10-1.14],4.577e-28,***,Triglycerides to Total-Lipids in Small VLDL percentage
S-LDL-TG%,1.12 [1.10-1.14],1.127e-29,***,Triglycerides to Total-Lipids in Small LDL percentage
M-HDL-PL%,1.10 [1.08-1.12],3.816e-20,***,Phospholipids to Total-Lipids in Medium HDL percentage
XS-VLDL-PL%,1.09 [1.07-1.11],1.507e-17,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-VLDL-TG%,1.09 [1.07-1.11],4.220e-14,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XL-HDL-TG%,1.09 [1.07-1.11],1.286e-13,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-HDL-TG,1.08 [1.06-1.10],1.353e-13,***,Triglycerides in Small HDL
M-HDL-TG,1.08 [1.06-1.10],2.232e-12,***,Triglycerides in Medium HDL
S-HDL-PL%,1.08 [1.06-1.10],3.990e-10,***,Phospholipids to Total-Lipids in Small HDL percentage
L-HDL-TG%,1.08 [1.06-1.10],1.799e-09,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG%,1.08 [1.06-1.10],1.560e-09,***,Triglycerides to Total-Lipids in Small HDL percentage
XS-VLDL-TG,1.07 [1.05-1.09],1.659e-09,***,Triglycerides in Very Small VLDL
M-HDL-TG%,1.07 [1.05-1.09],1.399e-07,***,Triglycerides to Total-Lipids in Medium HDL percentage
HDL-TG,1.07 [1.05-1.09],4.040e-09,***,Triglycerides in HDL
TG/PG,1.06 [1.04-1.08],5.449e-05,***,Triglycerides to Phosphoglycerides ratio
IDL-TG,1.06 [1.04-1.08],2.061e-06,***,Triglycerides in IDL
