Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.18 [1.15-1.21],4.509e-27,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.17 [1.14-1.20],1.766e-25,***,Triglycerides to Total-Lipids in Large LDL percentage
L-HDL-PL%,1.17 [1.14-1.20],4.623e-23,***,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-TG%,1.16 [1.13-1.20],3.319e-21,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.15 [1.12-1.18],1.374e-20,***,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA%,1.15 [1.11-1.18],3.216e-14,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-TG%,1.14 [1.11-1.18],1.622e-17,***,Triglycerides to Total-Lipids in Small LDL percentage
M-HDL-PL%,1.14 [1.11-1.18],2.214e-15,***,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-TG%,1.14 [1.11-1.17],6.442e-14,***,Triglycerides to Total-Lipids in Very Large HDL percentage
M-VLDL-TG%,1.14 [1.11-1.17],9.006e-14,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,1.13 [1.10-1.16],2.058e-12,***,Triglycerides to Total-Lipids in Small VLDL percentage
S-HDL-TG,1.13 [1.10-1.16],9.464e-13,***,Triglycerides in Small HDL
L-HDL-TG%,1.12 [1.09-1.16],3.683e-10,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG%,1.12 [1.09-1.15],6.828e-10,***,Triglycerides to Total-Lipids in Small HDL percentage
XL-VLDL-TG%,1.12 [1.08-1.15],1.753e-07,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-HDL-TG%,1.12 [1.09-1.15],7.828e-09,***,Triglycerides to Total-Lipids in Medium HDL percentage
M-HDL-TG,1.11 [1.08-1.14],1.876e-09,***,Triglycerides in Medium HDL
XS-VLDL-TG,1.11 [1.08-1.14],2.949e-09,***,Triglycerides in Very Small VLDL
TG/PG,1.11 [1.08-1.14],1.464e-06,***,Triglycerides to Phosphoglycerides ratio
HDL-TG,1.10 [1.07-1.13],1.120e-07,***,Triglycerides in HDL
XS-VLDL-PL%,1.10 [1.07-1.13],2.674e-06,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-TG,1.10 [1.07-1.13],5.156e-07,***,Triglycerides in IDL
S-VLDL-TG,1.10 [1.07-1.12],8.273e-06,***,Triglycerides in Small VLDL
L-VLDL-PL%,1.09 [1.06-1.13],0.002,**,Phospholipids to Total-Lipids in Large VLDL percentage
L-LDL-TG,1.09 [1.06-1.12],7.519e-06,***,Triglycerides in Large LDL
LDL-TG,1.09 [1.06-1.12],8.409e-06,***,Triglycerides in LDL
GlycA,1.09 [1.06-1.12],3.370e-04,***,Glycoprotein Acetyls
SFA%,1.09 [1.06-1.12],6.996e-05,***,Saturated Fatty Acids to Total-Fatty Acids percentage
Total-TG,1.09 [1.06-1.12],1.201e-04,***,Total-Triglycerides
XL-VLDL-TG,1.09 [1.06-1.12],1.245e-04,***,Triglycerides in Very Large VLDL
M-LDL-TG,1.09 [1.06-1.12],2.715e-05,***,Triglycerides in Medium LDL
MUFA,1.09 [1.06-1.12],9.013e-04,***,Monounsaturated Fatty Acids
S-LDL-TG,1.09 [1.06-1.12],1.460e-04,***,Triglycerides in Small LDL
Creatinine,1.09 [1.05-1.12],0.038,*,Creatinine
XXL-VLDL-PL,1.08 [1.06-1.11],9.331e-04,***,Phospholipids in Chylomicrons and Extremely Large VLDL
VLDL-TG,1.08 [1.05-1.11],0.003,**,Triglycerides in VLDL
XXL-VLDL-P,1.08 [1.06-1.11],7.999e-04,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XL-VLDL-P,1.08 [1.05-1.11],0.005,**,Concentration of Very Large VLDL Particles
XXL-VLDL-L,1.08 [1.05-1.11],0.006,**,Total-Lipids in Chylomicrons and Extremely Large VLDL
