Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.19 [1.17-1.20],3.194e-121,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.19 [1.17-1.20],1.175e-118,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,1.18 [1.16-1.20],1.556e-102,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
MUFA%,1.18 [1.16-1.19],1.753e-87,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-PL%,1.17 [1.16-1.19],2.923e-99,***,Phospholipids to Total-Lipids in Large HDL percentage
GlycA,1.17 [1.15-1.19],4.822e-90,***,Glycoprotein Acetyls
M-LDL-TG%,1.17 [1.15-1.18],8.861e-102,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,1.15 [1.14-1.17],1.252e-81,***,Triglycerides to Total-Lipids in Small LDL percentage
M-VLDL-TG%,1.15 [1.14-1.17],2.980e-72,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,1.15 [1.13-1.17],6.089e-72,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-HDL-PL%,1.13 [1.11-1.15],1.073e-52,***,Phospholipids to Total-Lipids in Medium HDL percentage
XL-VLDL-TG%,1.13 [1.11-1.15],5.433e-42,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XS-VLDL-PL%,1.12 [1.10-1.14],4.322e-47,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-HDL-TG%,1.12 [1.10-1.13],2.401e-42,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-HDL-TG,1.11 [1.10-1.13],8.901e-44,***,Triglycerides in Small HDL
S-HDL-TG%,1.10 [1.09-1.12],2.090e-31,***,Triglycerides to Total-Lipids in Small HDL percentage
M-HDL-TG,1.10 [1.09-1.12],7.014e-36,***,Triglycerides in Medium HDL
XS-VLDL-TG,1.10 [1.08-1.11],8.019e-33,***,Triglycerides in Very Small VLDL
L-HDL-TG%,1.10 [1.08-1.11],5.685e-27,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-PL%,1.09 [1.08-1.11],1.076e-26,***,Phospholipids to Total-Lipids in Small HDL percentage
