Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.04 [1.01-1.07],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Phe,1.01 [0.98-1.04],1.000,,Phenylalanine
Gly,1.01 [0.97-1.04],1.000,,Glycine
Gln,1.00 [0.97-1.04],1.000,,Glutamine
M-HDL-TG%,1.00 [0.97-1.03],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
ApoA1,0.99 [0.96-1.03],1.000,,Apolipoprotein A1
M-LDL-FC%,0.99 [0.96-1.02],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
ApoB/ApoA1,0.97 [0.94-1.00],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
Val,0.97 [0.94-1.00],1.000,,Valine
ApoB,0.96 [0.93-0.99],1.000,,Apolipoprotein B
