Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.20 [1.14-1.26],4.711e-07,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.20 [1.14-1.26],1.182e-06,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.19 [1.14-1.25],3.340e-07,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,1.18 [1.12-1.24],1.353e-04,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.17 [1.11-1.23],4.370e-04,***,Triglycerides to Total-Lipids in Small LDL percentage
S-VLDL-TG%,1.15 [1.09-1.21],0.039,*,Triglycerides to Total-Lipids in Small VLDL percentage
S-LDL-C%,0.88 [0.84-0.92],0.043,*,Cholesterol to Total-Lipids in Small LDL percentage
S-LDL-FC%,0.88 [0.84-0.92],0.017,*,Free Cholesterol to Total-Lipids in Small LDL percentage
IDL-FC%,0.88 [0.83-0.92],0.035,*,Free Cholesterol to Total-Lipids in IDL percentage
IDL-CE%,0.87 [0.83-0.91],0.007,**,Cholesteryl Esters to Total-Lipids in IDL percentage
M-VLDL-CE%,0.87 [0.83-0.91],0.003,**,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.87 [0.83-0.91],0.009,**,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-C%,0.87 [0.83-0.91],0.005,**,Cholesterol to Total-Lipids in Small VLDL percentage
Omega-6%,0.87 [0.82-0.91],0.013,*,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-FC%,0.86 [0.82-0.90],7.639e-05,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-VLDL-PL%,0.86 [0.81-0.90],5.296e-04,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,0.85 [0.81-0.90],1.116e-04,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-CE%,0.85 [0.81-0.89],3.584e-05,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
IDL-C%,0.85 [0.81-0.89],1.598e-06,***,Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-C%,0.85 [0.81-0.89],9.493e-06,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-LDL-C%,0.84 [0.80-0.88],3.276e-08,***,Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-FC%,0.84 [0.80-0.88],2.473e-07,***,Free Cholesterol to Total-Lipids in Large LDL percentage
LA%,0.83 [0.79-0.88],9.294e-07,***,Linoleic Acid to Total-Fatty Acids percentage
