Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL%,1.10 [1.08-1.13],4.318e-13,***,Phospholipids to Total-Lipids in Medium HDL percentage
L-HDL-PL%,1.09 [1.07-1.12],3.125e-08,***,Phospholipids to Total-Lipids in Large HDL percentage
XL-HDL-FC%,1.09 [1.07-1.12],2.066e-07,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
TG/PG,1.09 [1.06-1.11],7.724e-08,***,Triglycerides to Phosphoglycerides ratio
XL-HDL-TG%,1.08 [1.06-1.11],1.221e-07,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-HDL-TG%,1.08 [1.06-1.10],3.671e-08,***,Triglycerides to Total-Lipids in Small HDL percentage
L-HDL-TG%,1.08 [1.05-1.10],1.113e-05,***,Triglycerides to Total-Lipids in Large HDL percentage
XS-VLDL-TG%,1.07 [1.05-1.10],2.852e-05,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.07 [1.05-1.09],3.399e-05,***,Triglycerides to Total-Lipids in IDL percentage
M-HDL-TG%,1.07 [1.05-1.09],1.081e-05,***,Triglycerides to Total-Lipids in Medium HDL percentage
L-VLDL-PL%,1.07 [1.05-1.09],1.061e-05,***,Phospholipids to Total-Lipids in Large VLDL percentage
S-HDL-TG,1.06 [1.04-1.09],3.281e-04,***,Triglycerides in Small HDL
MUFA%,1.06 [1.04-1.09],0.019,*,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-VLDL-TG%,1.06 [1.04-1.09],8.224e-04,***,Triglycerides to Total-Lipids in Medium VLDL percentage
VLDL-size,1.06 [1.04-1.09],0.004,**,Average Diameter for VLDL Particles
XL-VLDL-TG,1.06 [1.04-1.08],0.008,**,Triglycerides in Very Large VLDL
L-VLDL-PL,1.06 [1.04-1.08],0.011,*,Phospholipids in Large VLDL
S-VLDL-TG,1.06 [1.04-1.08],0.011,*,Triglycerides in Small VLDL
XL-VLDL-L,1.06 [1.04-1.08],0.035,*,Total-Lipids in Very Large VLDL
VLDL-TG,1.06 [1.04-1.08],0.042,*,Triglycerides in VLDL
XL-VLDL-P,1.06 [1.04-1.08],0.046,*,Concentration of Very Large VLDL Particles
3-Hydroxybutyrate,0.95 [0.93-0.97],0.038,*,3-Hydroxybutyrate
XL-VLDL-CE%,0.95 [0.93-0.97],0.044,*,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,0.95 [0.93-0.97],0.017,*,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-HDL-FC%,0.95 [0.93-0.96],0.012,*,Free Cholesterol to Total-Lipids in Small HDL percentage
M-HDL-L,0.94 [0.92-0.96],0.016,*,Total-Lipids in Medium HDL
IDL-C%,0.94 [0.92-0.96],0.013,*,Cholesterol to Total-Lipids in IDL percentage
M-VLDL-FC%,0.94 [0.92-0.96],0.011,*,Free Cholesterol to Total-Lipids in Medium VLDL percentage
Total-P,0.94 [0.92-0.96],0.003,**,Total-Concentration of Lipoprotein Particles
M-LDL-FC%,0.94 [0.92-0.96],0.011,*,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-P,0.94 [0.92-0.96],0.001,**,Concentration of HDL Particles
S-VLDL-PL%,0.94 [0.92-0.96],0.001,**,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,0.94 [0.92-0.96],8.798e-04,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
SM,0.94 [0.92-0.96],0.001,**,Sphingomyelins
IDL-FC%,0.94 [0.92-0.96],5.463e-04,***,Free Cholesterol to Total-Lipids in IDL percentage
M-HDL-P,0.94 [0.92-0.96],1.442e-04,***,Concentration of Medium HDL Particles
M-VLDL-C%,0.94 [0.92-0.96],6.895e-04,***,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.94 [0.92-0.96],7.845e-04,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-HDL-CE%,0.93 [0.92-0.95],6.761e-05,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-HDL-FC,0.93 [0.91-0.95],8.271e-06,***,Free Cholesterol in Medium HDL
XS-VLDL-C%,0.93 [0.91-0.95],8.372e-05,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.93 [0.91-0.95],7.450e-05,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-HDL-CE,0.93 [0.91-0.95],3.861e-06,***,Cholesteryl Esters in Medium HDL
M-HDL-C,0.93 [0.91-0.95],3.291e-06,***,Cholesterol in Medium HDL
HDL-PL,0.93 [0.91-0.95],4.444e-06,***,Phospholipids in HDL
ApoA1,0.93 [0.91-0.95],2.172e-06,***,Apolipoprotein A1
L-LDL-FC%,0.92 [0.90-0.94],3.807e-09,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-HDL-C%,0.92 [0.90-0.94],7.333e-09,***,Cholesterol to Total-Lipids in Medium HDL percentage
HDL-L,0.92 [0.90-0.94],7.884e-09,***,Total-Lipids in HDL
XL-HDL-FC,0.92 [0.90-0.94],1.912e-12,***,Free Cholesterol in Very Large HDL
L-HDL-CE%,0.92 [0.89-0.94],5.500e-08,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
HDL-FC,0.91 [0.89-0.93],7.831e-12,***,Free Cholesterol in HDL
L-HDL-C%,0.91 [0.89-0.93],4.192e-09,***,Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-PL,0.91 [0.89-0.93],8.065e-14,***,Phospholipids in Very Large HDL
XL-HDL-L,0.91 [0.89-0.93],5.296e-15,***,Total-Lipids in Very Large HDL
L-HDL-PL,0.91 [0.89-0.93],8.996e-14,***,Phospholipids in Large HDL
HDL-size,0.91 [0.89-0.93],1.814e-13,***,Average Diameter for HDL Particles
