Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-VLDL-TG%,1.15 [0.95-1.40],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
M-HDL-CE%,1.14 [0.90-1.46],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
L-LDL-TG%,1.13 [0.91-1.41],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
M-HDL-C%,1.10 [0.86-1.39],1.000,,Cholesterol to Total-Lipids in Medium HDL percentage
M-LDL-PL%,1.05 [0.86-1.29],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Val,0.98 [0.79-1.22],1.000,,Valine
M-LDL-FC%,0.95 [0.76-1.20],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Clinical LDL-C,0.85 [0.69-1.05],1.000,,Clinical LDL Cholesterol
ApoB,0.83 [0.67-1.02],1.000,,Apolipoprotein B
ApoB/ApoA1,0.78 [0.63-0.98],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
