Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,1.46 [1.44-1.48],0.000e+00,***,Creatinine
L-LDL-TG%,1.23 [1.21-1.24],1.338e-199,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.23 [1.21-1.24],3.755e-198,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.21 [1.19-1.22],6.315e-174,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.20 [1.19-1.22],3.050e-148,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XS-VLDL-TG%,1.20 [1.18-1.22],4.070e-144,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
MUFA%,1.18 [1.17-1.20],1.210e-109,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-VLDL-TG%,1.17 [1.15-1.18],3.018e-95,***,Triglycerides to Total-Lipids in Small VLDL percentage
GlycA,1.16 [1.14-1.18],2.762e-89,***,Glycoprotein Acetyls
S-LDL-TG%,1.16 [1.14-1.18],1.274e-100,***,Triglycerides to Total-Lipids in Small LDL percentage
M-VLDL-TG%,1.16 [1.14-1.18],1.694e-87,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-HDL-PL%,1.14 [1.13-1.16],9.919e-74,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-TG%,1.14 [1.13-1.16],3.675e-67,***,Triglycerides to Total-Lipids in Small HDL percentage
IDL-PL%,1.14 [1.12-1.15],1.271e-73,***,Phospholipids to Total-Lipids in IDL percentage
L-HDL-PL%,1.13 [1.12-1.15],1.717e-70,***,Phospholipids to Total-Lipids in Large HDL percentage
L-HDL-TG%,1.13 [1.11-1.15],2.635e-58,***,Triglycerides to Total-Lipids in Large HDL percentage
M-HDL-TG%,1.12 [1.10-1.13],1.458e-46,***,Triglycerides to Total-Lipids in Medium HDL percentage
XL-VLDL-TG%,1.11 [1.09-1.12],3.960e-32,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
