Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL%,1.13 [1.03-1.24],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
M-HDL-TG%,1.07 [0.98-1.17],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
M-LDL-PL%,1.06 [0.98-1.15],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-VLDL-PL%,1.05 [0.97-1.14],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
L-VLDL-TG%,1.04 [0.96-1.12],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
M-LDL-FC%,0.97 [0.88-1.07],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA/MUFA,0.96 [0.87-1.06],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Total-CE,0.92 [0.84-1.01],1.000,,Total-Esterified Cholesterol
Omega-3%,0.91 [0.83-1.00],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA%,0.89 [0.81-0.98],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
