Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-TG%,1.45 [1.38-1.52],1.633e-46,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-LDL-TG%,1.44 [1.39-1.49],3.089e-91,***,Triglycerides to Total-Lipids in Large LDL percentage
MUFA%,1.44 [1.38-1.50],3.764e-69,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-TG%,1.43 [1.39-1.49],1.175e-86,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-TG%,1.43 [1.38-1.49],7.852e-74,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,1.43 [1.38-1.48],3.008e-85,***,Phospholipids to Total-Lipids in Large HDL percentage
S-HDL-TG%,1.40 [1.35-1.46],1.242e-59,***,Triglycerides to Total-Lipids in Small HDL percentage
M-VLDL-TG%,1.40 [1.34-1.45],7.041e-58,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-LDL-TG%,1.39 [1.35-1.44],7.496e-74,***,Triglycerides to Total-Lipids in Small LDL percentage
M-HDL-PL%,1.39 [1.34-1.44],2.604e-67,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-TG%,1.38 [1.34-1.43],1.084e-74,***,Triglycerides to Total-Lipids in Medium LDL percentage
XL-HDL-TG%,1.38 [1.33-1.43],4.380e-60,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,1.38 [1.33-1.43],3.518e-56,***,Triglycerides to Total-Lipids in Large HDL percentage
L-VLDL-PL%,1.37 [1.30-1.44],2.224e-31,***,Phospholipids to Total-Lipids in Large VLDL percentage
M-HDL-TG%,1.37 [1.32-1.42],1.217e-49,***,Triglycerides to Total-Lipids in Medium HDL percentage
TG/PG,1.36 [1.31-1.42],5.448e-52,***,Triglycerides to Phosphoglycerides ratio
S-VLDL-TG%,1.35 [1.30-1.41],9.300e-47,***,Triglycerides to Total-Lipids in Small VLDL percentage
S-HDL-TG,1.35 [1.30-1.40],6.114e-61,***,Triglycerides in Small HDL
SFA%,1.31 [1.26-1.36],3.248e-44,***,Saturated Fatty Acids to Total-Fatty Acids percentage
VLDL-size,1.29 [1.24-1.34],1.493e-31,***,Average Diameter for VLDL Particles
XXL-VLDL-L,1.29 [1.25-1.33],2.821e-43,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG,1.29 [1.24-1.33],1.633e-42,***,Triglycerides in Very Large VLDL
XXL-VLDL-PL,1.28 [1.24-1.33],1.732e-45,***,Phospholipids in Chylomicrons and Extremely Large VLDL
Total-TG,1.28 [1.23-1.33],3.845e-36,***,Total-Triglycerides
