Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.13 [1.09-1.16],1.452e-09,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.12 [1.09-1.15],2.730e-08,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.11 [1.08-1.14],1.010e-06,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.11 [1.07-1.14],1.081e-05,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
MUFA%,1.11 [1.07-1.14],2.681e-04,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-PL%,1.10 [1.07-1.14],3.187e-04,***,Phospholipids to Total-Lipids in Medium HDL percentage
XS-VLDL-TG%,1.09 [1.06-1.13],0.006,**,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.08 [1.05-1.12],0.031,*,Triglycerides to Total-Lipids in Small LDL percentage
LDL-FC,0.92 [0.89-0.95],0.011,*,Free Cholesterol in LDL
IDL-FC,0.92 [0.89-0.95],0.017,*,Free Cholesterol in IDL
IDL-CE,0.92 [0.89-0.95],0.008,**,Cholesteryl Esters in IDL
IDL-C,0.92 [0.89-0.95],0.007,**,Cholesterol in IDL
Total-C,0.92 [0.89-0.95],0.006,**,Total-Cholesterol
L-LDL-FC,0.92 [0.89-0.95],0.005,**,Free Cholesterol in Large LDL
L-HDL-CE%,0.92 [0.89-0.95],0.003,**,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-VLDL-PL%,0.92 [0.89-0.95],0.006,**,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,0.92 [0.89-0.94],0.004,**,Free Cholesterol to Total-Lipids in Small VLDL percentage
XL-HDL-CE%,0.92 [0.89-0.94],0.001,**,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-HDL-C%,0.92 [0.89-0.94],0.003,**,Cholesterol to Total-Lipids in Large HDL percentage
S-LDL-C%,0.92 [0.89-0.94],5.364e-04,***,Cholesterol to Total-Lipids in Small LDL percentage
Total-CE,0.92 [0.89-0.94],0.002,**,Total-Esterified Cholesterol
L-LDL-FC%,0.92 [0.89-0.94],8.883e-04,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-HDL-C%,0.91 [0.89-0.94],0.003,**,Cholesterol to Total-Lipids in Medium HDL percentage
HDL-C,0.91 [0.88-0.94],0.041,*,HDL Cholesterol
HDL-CE,0.91 [0.88-0.94],0.021,*,Cholesteryl Esters in HDL
PUFA/MUFA,0.91 [0.88-0.94],0.003,**,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XS-VLDL-C%,0.91 [0.88-0.94],5.048e-05,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-HDL-FC%,0.91 [0.88-0.94],0.003,**,Free Cholesterol to Total-Lipids in Medium HDL percentage
IDL-CE%,0.91 [0.88-0.93],6.112e-06,***,Cholesteryl Esters to Total-Lipids in IDL percentage
M-LDL-C%,0.91 [0.88-0.93],9.251e-07,***,Cholesterol to Total-Lipids in Medium LDL percentage
XS-VLDL-CE%,0.91 [0.88-0.93],1.233e-05,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
IDL-C%,0.90 [0.88-0.93],6.749e-08,***,Cholesterol to Total-Lipids in IDL percentage
L-LDL-C%,0.89 [0.86-0.92],1.098e-09,***,Cholesterol to Total-Lipids in Large LDL percentage
