Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.15 [1.12-1.17],7.996e-31,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.15 [1.12-1.17],9.138e-31,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-PL%,1.14 [1.12-1.17],7.160e-28,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
MUFA%,1.13 [1.11-1.16],4.226e-21,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-PL%,1.13 [1.11-1.16],9.693e-22,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-TG%,1.13 [1.11-1.15],1.914e-24,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,1.12 [1.09-1.14],4.341e-17,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
GlycA,1.11 [1.09-1.14],8.494e-15,***,Glycoprotein Acetyls
S-HDL-TG%,1.11 [1.08-1.13],1.136e-13,***,Triglycerides to Total-Lipids in Small HDL percentage
S-LDL-TG%,1.10 [1.08-1.13],1.902e-13,***,Triglycerides to Total-Lipids in Small LDL percentage
L-HDL-TG%,1.10 [1.08-1.13],1.671e-11,***,Triglycerides to Total-Lipids in Large HDL percentage
L-HDL-PL%,1.10 [1.07-1.12],3.520e-10,***,Phospholipids to Total-Lipids in Large HDL percentage
M-HDL-TG%,1.10 [1.07-1.12],2.430e-10,***,Triglycerides to Total-Lipids in Medium HDL percentage
IDL-PL%,1.09 [1.07-1.12],5.853e-12,***,Phospholipids to Total-Lipids in IDL percentage
M-VLDL-TG%,1.09 [1.07-1.12],1.535e-09,***,Triglycerides to Total-Lipids in Medium VLDL percentage
TG/PG,1.09 [1.06-1.11],1.281e-07,***,Triglycerides to Phosphoglycerides ratio
S-VLDL-TG%,1.09 [1.06-1.11],1.888e-08,***,Triglycerides to Total-Lipids in Small VLDL percentage
XL-HDL-FC%,1.08 [1.05-1.11],1.751e-04,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-TG%,1.08 [1.05-1.10],7.632e-05,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-VLDL-PL%,1.07 [1.05-1.09],0.003,**,Phospholipids to Total-Lipids in Large VLDL percentage
Omega-6/Omega-3,1.07 [1.04-1.09],0.002,**,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
L-LDL-P,0.95 [0.93-0.97],0.049,*,Concentration of Large LDL Particles
LDL-P,0.94 [0.92-0.96],0.016,*,Concentration of LDL Particles
S-HDL-L,0.94 [0.92-0.96],0.009,**,Total-Lipids in Small HDL
S-LDL-L,0.94 [0.92-0.96],0.004,**,Total-Lipids in Small LDL
ApoB,0.94 [0.92-0.96],0.004,**,Apolipoprotein B
S-LDL-CE,0.94 [0.92-0.96],0.004,**,Cholesteryl Esters in Small LDL
L-HDL-FC%,0.94 [0.92-0.96],0.007,**,Free Cholesterol to Total-Lipids in Large HDL percentage
