Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
LA%,1.12 [1.10-1.14],2.806e-25,***,Linoleic Acid to Total-Fatty Acids percentage
L-LDL-C%,1.09 [1.07-1.11],7.676e-15,***,Cholesterol to Total-Lipids in Large LDL percentage
PUFA%,1.08 [1.06-1.10],2.107e-10,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-C%,1.08 [1.06-1.10],9.721e-08,***,Cholesterol to Total-Lipids in Large HDL percentage
PUFA/MUFA,1.08 [1.06-1.10],1.512e-09,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XL-HDL-CE,1.08 [1.06-1.10],2.166e-09,***,Cholesteryl Esters in Very Large HDL
XL-HDL-C,1.08 [1.06-1.10],1.370e-09,***,Cholesterol in Very Large HDL
Omega-6%,1.07 [1.05-1.09],1.477e-08,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XL-HDL-P,1.07 [1.05-1.09],9.460e-09,***,Concentration of Very Large HDL Particles
XS-VLDL-CE%,1.07 [1.05-1.09],3.768e-07,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-HDL-CE%,1.07 [1.05-1.09],2.824e-06,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XL-HDL-L,1.07 [1.05-1.09],1.348e-07,***,Total-Lipids in Very Large HDL
XL-HDL-FC,1.07 [1.05-1.09],1.333e-08,***,Free Cholesterol in Very Large HDL
L-LDL-FC%,1.07 [1.05-1.09],5.048e-07,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-C%,1.07 [1.05-1.09],9.108e-07,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-HDL-PL,1.07 [1.05-1.09],3.354e-06,***,Phospholipids in Very Large HDL
S-HDL-FC%,1.06 [1.04-1.08],1.948e-06,***,Free Cholesterol to Total-Lipids in Small HDL percentage
M-VLDL-C%,1.06 [1.04-1.08],1.243e-04,***,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,1.06 [1.04-1.08],2.998e-04,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
IDL-C%,1.06 [1.04-1.08],3.759e-05,***,Cholesterol to Total-Lipids in IDL percentage
L-HDL-CE,1.06 [1.04-1.08],4.035e-04,***,Cholesteryl Esters in Large HDL
S-VLDL-FC%,1.06 [1.04-1.08],4.628e-05,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-HDL-C,1.06 [1.04-1.08],7.933e-04,***,Cholesterol in Large HDL
M-VLDL-FC%,1.06 [1.04-1.08],2.316e-04,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-PL%,1.06 [1.04-1.08],9.009e-05,***,Phospholipids to Total-Lipids in Small VLDL percentage
M-LDL-C%,1.06 [1.04-1.07],5.880e-04,***,Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-P,1.06 [1.04-1.08],0.006,**,Concentration of Large HDL Particles
HDL-size,1.06 [1.04-1.08],0.008,**,Average Diameter for HDL Particles
L-HDL-FC%,1.06 [1.03-1.08],0.016,*,Free Cholesterol to Total-Lipids in Large HDL percentage
M-LDL-FC%,1.05 [1.04-1.07],0.003,**,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-FC,1.05 [1.03-1.07],0.010,**,Free Cholesterol in Large HDL
M-VLDL-PL%,1.05 [1.03-1.07],0.005,**,Phospholipids to Total-Lipids in Medium VLDL percentage
Unsaturation,1.05 [1.03-1.07],0.011,*,Degree of Unsaturation
IDL-CE%,1.05 [1.03-1.07],0.026,*,Cholesteryl Esters to Total-Lipids in IDL percentage
LA,1.05 [1.03-1.07],0.016,*,Linoleic Acid
XL-VLDL-FC%,1.05 [1.03-1.07],0.017,*,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
SFA%,0.95 [0.94-0.97],0.015,*,Saturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-TG,0.95 [0.94-0.97],0.045,*,Triglycerides in Small HDL
S-LDL-TG%,0.95 [0.93-0.97],0.011,*,Triglycerides to Total-Lipids in Small LDL percentage
M-HDL-PL%,0.95 [0.93-0.97],0.005,**,Phospholipids to Total-Lipids in Medium HDL percentage
M-VLDL-TG%,0.95 [0.93-0.96],6.051e-04,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,0.94 [0.93-0.96],2.216e-05,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,0.94 [0.92-0.96],1.580e-06,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
MUFA%,0.94 [0.92-0.95],6.323e-07,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
GlycA,0.93 [0.91-0.95],2.941e-09,***,Glycoprotein Acetyls
IDL-TG%,0.93 [0.91-0.95],8.834e-10,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,0.93 [0.91-0.94],4.046e-11,***,Triglycerides to Total-Lipids in Large LDL percentage
L-HDL-PL%,0.92 [0.90-0.93],1.742e-13,***,Phospholipids to Total-Lipids in Large HDL percentage
