Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Lactate,"1.010 [0.973,1.046]",0.000e+00,***,Lactate
GlycA,"0.852 [0.813,0.890]",0.000e+00,***,Glycoprotein Acetyls
3-Hydroxybutyrate,"0.803 [0.767,0.840]",0.000e+00,***,3-Hydroxybutyrate
Omega-6/Omega-3,"0.711 [0.674,0.748]",2.996e-304,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
MUFA%,"0.448 [0.408,0.487]",2.793e-105,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Pyruvate,"0.440 [0.404,0.476]",4.520e-120,***,Pyruvate
Glu-lactate,"0.368 [0.331,0.405]",5.163e-80,***,Glucose-lactate
Acetoacetate,"0.360 [0.324,0.397]",1.460e-78,***,Acetoacetate
M-VLDL-TG%,"0.322 [0.283,0.360]",3.052e-55,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-HDL-CE%,"0.316 [0.278,0.354]",2.874e-55,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
Acetone,"0.313 [0.277,0.350]",2.460e-58,***,Acetone
S-VLDL-TG%,"0.313 [0.276,0.350]",6.759e-56,***,Triglycerides to Total-Lipids in Small VLDL percentage
L-VLDL-TG%,"0.300 [0.264,0.336]",5.506e-54,***,Triglycerides to Total-Lipids in Large VLDL percentage
XS-VLDL-PL%,"0.271 [0.233,0.308]",3.043e-40,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XS-VLDL-TG%,"0.260 [0.222,0.298]",3.844e-35,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XL-VLDL-TG%,"0.259 [0.222,0.297]",3.802e-36,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-HDL-C%,"0.253 [0.215,0.292]",1.994e-32,***,Cholesterol to Total-Lipids in Medium HDL percentage
S-LDL-PL%,"0.244 [0.207,0.280]",5.069e-34,***,Phospholipids to Total-Lipids in Small LDL percentage
L-HDL-CE%,"0.241 [0.202,0.280]",2.433e-28,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-LDL-TG%,"0.203 [0.166,0.240]",1.121e-21,***,Triglycerides to Total-Lipids in Medium LDL percentage
XXL-VLDL-PL%,"0.195 [0.159,0.231]",8.607e-21,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
