Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-CE,"0.178 [0.133,0.222]",1.664e-09,***,Cholesteryl Esters in Medium HDL
M-HDL-C,"0.178 [0.133,0.222]",2.017e-09,***,Cholesterol in Medium HDL
M-HDL-P,"0.175 [0.131,0.220]",2.665e-09,***,Concentration of Medium HDL Particles
M-HDL-L,"0.173 [0.129,0.218]",4.523e-09,***,Total-Lipids in Medium HDL
M-HDL-FC,"0.173 [0.128,0.218]",1.139e-08,***,Free Cholesterol in Medium HDL
HDL-PL,"0.171 [0.126,0.217]",3.020e-08,***,Phospholipids in HDL
HDL-L,"0.171 [0.125,0.217]",6.986e-08,***,Total-Lipids in HDL
M-HDL-PL,"0.171 [0.127,0.215]",6.076e-09,***,Phospholipids in Medium HDL
HDL-CE,"0.170 [0.124,0.217]",1.497e-07,***,Cholesteryl Esters in HDL
ApoA1,"0.170 [0.125,0.215]",3.022e-08,***,Apolipoprotein A1
HDL-C,"0.169 [0.123,0.216]",2.430e-07,***,HDL Cholesterol
HDL-P,"0.159 [0.115,0.202]",2.773e-07,***,Concentration of HDL Particles
HDL-FC,"0.156 [0.110,0.202]",6.773e-06,***,Free Cholesterol in HDL
L-HDL-PL,"0.146 [0.099,0.193]",2.526e-04,***,Phospholipids in Large HDL
Total-P,"0.146 [0.102,0.190]",1.285e-05,***,Total-Concentration of Lipoprotein Particles
L-HDL-L,"0.140 [0.092,0.187]",0.002,**,Total-Lipids in Large HDL
L-HDL-P,"0.132 [0.085,0.179]",0.007,**,Concentration of Large HDL Particles
L-HDL-CE,"0.131 [0.083,0.178]",0.015,*,Cholesteryl Esters in Large HDL
L-HDL-C,"0.131 [0.083,0.178]",0.016,*,Cholesterol in Large HDL
S-HDL-PL,"0.127 [0.085,0.169]",8.377e-04,***,Phospholipids in Small HDL
L-HDL-FC,"0.125 [0.078,0.172]",0.035,*,Free Cholesterol in Large HDL
S-HDL-L,"0.116 [0.074,0.158]",0.015,*,Total-Lipids in Small HDL
L-VLDL-CE%,"-0.026 [-0.070,0.017]",1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-VLDL-C%,"-0.036 [-0.078,0.006]",1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
L-VLDL-FC%,"-0.053 [-0.093,-0.013]",1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
ApoB/ApoA1,"-0.106 [-0.148,-0.064]",0.169,,Apolipoprotein B to Apolipoprotein A1 ratio
XL-HDL-FC%,"-0.121 [-0.170,-0.072]",0.314,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
