Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-HDL-FC%,"1.152 [1.092,1.215]",0.040,*,Free Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-FC,"1.131 [1.088,1.175]",9.430e-05,***,Free Cholesterol in Very Large HDL
XL-HDL-L,"1.128 [1.084,1.174]",9.194e-04,***,Total-Lipids in Very Large HDL
XL-HDL-PL,"1.127 [1.083,1.173]",0.001,**,Phospholipids in Very Large HDL
XL-HDL-C,"1.125 [1.081,1.171]",0.002,**,Cholesterol in Very Large HDL
XL-VLDL-FC%,"1.122 [1.081,1.165]",4.145e-04,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-HDL-CE,"1.121 [1.077,1.167]",0.007,**,Cholesteryl Esters in Very Large HDL
XL-HDL-P,"1.121 [1.077,1.165]",0.003,**,Concentration of Very Large HDL Particles
S-LDL-PL%,"1.119 [1.077,1.163]",0.002,**,Phospholipids to Total-Lipids in Small LDL percentage
S-HDL-FC%,"1.116 [1.073,1.161]",0.010,**,Free Cholesterol to Total-Lipids in Small HDL percentage
S-HDL-PL,"0.896 [0.862,0.931]",0.007,**,Phospholipids in Small HDL
S-HDL-C,"0.895 [0.861,0.930]",0.004,**,Cholesterol in Small HDL
S-HDL-P,"0.894 [0.860,0.929]",0.003,**,Concentration of Small HDL Particles
S-HDL-L,"0.892 [0.858,0.927]",0.002,**,Total-Lipids in Small HDL
S-HDL-CE,"0.889 [0.856,0.924]",4.051e-04,***,Cholesteryl Esters in Small HDL
L-HDL-PL%,"0.868 [0.827,0.911]",0.002,**,Phospholipids to Total-Lipids in Large HDL percentage
GlycA,"0.838 [0.803,0.874]",8.822e-11,***,Glycoprotein Acetyls
