Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Omega-3%,"1.201 [1.174,1.227]",1.367e-53,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA%,"1.197 [1.169,1.225]",4.608e-46,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
DHA,"1.191 [1.166,1.217]",6.518e-53,***,Docosahexaenoic Acid
Omega-3,"1.179 [1.154,1.204]",1.474e-46,***,Omega-3 Fatty Acids
Unsaturation,"1.157 [1.130,1.184]",1.106e-28,***,Degree of Unsaturation
PUFA%,"1.095 [1.067,1.123]",1.747e-06,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
PUFA/MUFA,"1.093 [1.066,1.121]",7.498e-07,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Acetate,"1.081 [1.059,1.104]",6.710e-08,***,Acetate
PUFA,"1.079 [1.055,1.104]",7.091e-06,***,Polyunsaturated Fatty Acids
Gln,"0.942 [0.922,0.962]",0.011,*,Glutamine
Phe,"0.939 [0.919,0.959]",0.002,**,Phenylalanine
SFA%,"0.939 [0.917,0.961]",0.017,*,Saturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-PL%,"0.935 [0.916,0.954]",2.622e-05,***,Phospholipids to Total-Lipids in Large LDL percentage
Citrate,"0.934 [0.915,0.955]",1.348e-04,***,Citrate
MUFA%,"0.926 [0.903,0.949]",1.593e-04,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Creatinine,"0.894 [0.869,0.919]",2.934e-10,***,Creatinine
Omega-6/Omega-3,"0.841 [0.822,0.860]",2.637e-45,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
