Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,"0.560 [0.513,0.607]",2.289e-114,***,Creatinine
Albumin,"0.411 [0.373,0.449]",2.994e-94,***,Albumin
PUFA/MUFA,"0.325 [0.282,0.369]",5.386e-44,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XS-VLDL-CE%,"0.325 [0.282,0.369]",1.725e-43,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,"0.313 [0.270,0.356]",1.056e-40,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-HDL-FC%,"0.306 [0.261,0.351]",3.102e-35,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
L-LDL-FC%,"0.301 [0.259,0.342]",7.481e-41,***,Free Cholesterol to Total-Lipids in Large LDL percentage
L-LDL-C%,"0.295 [0.253,0.337]",7.115e-38,***,Cholesterol to Total-Lipids in Large LDL percentage
IDL-C%,"0.292 [0.251,0.332]",1.797e-39,***,Cholesterol to Total-Lipids in IDL percentage
Citrate,"0.277 [0.240,0.315]",7.548e-43,***,Citrate
L-HDL-C%,"0.266 [0.218,0.314]",3.031e-22,***,Cholesterol to Total-Lipids in Large HDL percentage
IDL-CE%,"0.263 [0.223,0.303]",4.270e-33,***,Cholesteryl Esters to Total-Lipids in IDL percentage
L-HDL-CE%,"0.244 [0.196,0.291]",2.318e-18,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-LDL-C%,"0.244 [0.205,0.282]",4.109e-30,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-VLDL-FC%,"0.238 [0.198,0.279]",4.731e-26,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-HDL-FC%,"0.233 [0.184,0.281]",1.497e-15,***,Free Cholesterol to Total-Lipids in Large HDL percentage
M-LDL-FC%,"0.233 [0.190,0.275]",7.537e-22,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-CE%,"0.232 [0.189,0.276]",5.101e-20,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-HDL-C,"0.231 [0.190,0.271]",5.247e-24,***,Cholesterol in Large HDL
L-HDL-CE,"0.230 [0.190,0.269]",4.876e-24,***,Cholesteryl Esters in Large HDL
M-VLDL-C%,"0.224 [0.181,0.266]",8.581e-20,***,Cholesterol to Total-Lipids in Medium VLDL percentage
L-HDL-L,"0.222 [0.181,0.263]",4.977e-21,***,Total-Lipids in Large HDL
XL-HDL-CE,"0.222 [0.184,0.260]",5.993e-25,***,Cholesteryl Esters in Very Large HDL
HDL-C,"0.221 [0.180,0.262]",7.445e-21,***,HDL Cholesterol
XL-HDL-C,"0.220 [0.182,0.257]",9.871e-25,***,Cholesterol in Very Large HDL
HDL-CE,"0.217 [0.177,0.258]",3.153e-20,***,Cholesteryl Esters in HDL
DHA%,"0.216 [0.175,0.258]",1.717e-19,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
