Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
DHA%,"0.215 [0.144,0.286]",6.464e-04,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
DHA,"0.177 [0.111,0.243]",0.034,*,Docosahexaenoic Acid
Omega-3%,"0.162 [0.095,0.228]",0.434,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
HDL-FC,"0.098 [0.030,0.165]",1.000,,Free Cholesterol in HDL
M-LDL-FC%,"0.077 [0.001,0.153]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Remnant-C,"-0.005 [-0.073,0.062]",1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-TG%,"-0.009 [-0.079,0.061]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
ApoB,"-0.015 [-0.081,0.051]",1.000,,Apolipoprotein B
ApoB/ApoA1,"-0.046 [-0.112,0.020]",1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
Phe,"-0.049 [-0.114,0.015]",1.000,,Phenylalanine
