Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL,"0.445 [0.367,0.523]",1.121e-23,***,Phospholipids in Medium HDL
M-HDL-L,"0.443 [0.363,0.522]",2.276e-22,***,Total-Lipids in Medium HDL
M-HDL-CE,"0.423 [0.345,0.501]",5.557e-21,***,Cholesteryl Esters in Medium HDL
M-HDL-C,"0.421 [0.343,0.500]",1.554e-20,***,Cholesterol in Medium HDL
M-HDL-P,"0.407 [0.332,0.483]",8.281e-21,***,Concentration of Medium HDL Particles
HDL-PL,"0.394 [0.314,0.473]",5.304e-17,***,Phospholipids in HDL
ApoA1,"0.393 [0.314,0.472]",2.478e-17,***,Apolipoprotein A1
M-HDL-FC,"0.386 [0.311,0.462]",3.939e-18,***,Free Cholesterol in Medium HDL
HDL-P,"0.377 [0.302,0.452]",2.264e-17,***,Concentration of HDL Particles
HDL-L,"0.376 [0.296,0.457]",1.092e-14,***,Total-Lipids in HDL
S-HDL-PL,"0.370 [0.296,0.444]",1.847e-17,***,Phospholipids in Small HDL
Total-P,"0.344 [0.268,0.420]",1.219e-13,***,Total-Concentration of Lipoprotein Particles
HDL-CE,"0.337 [0.258,0.417]",1.660e-11,***,Cholesteryl Esters in HDL
S-HDL-L,"0.337 [0.263,0.410]",4.199e-14,***,Total-Lipids in Small HDL
HDL-C,"0.334 [0.255,0.414]",3.784e-11,***,HDL Cholesterol
S-HDL-FC,"0.302 [0.228,0.376]",2.931e-10,***,Free Cholesterol in Small HDL
S-HDL-C,"0.296 [0.225,0.368]",1.262e-10,***,Cholesterol in Small HDL
HDL-FC,"0.290 [0.215,0.365]",7.779e-09,***,Free Cholesterol in HDL
S-HDL-CE,"0.280 [0.209,0.350]",1.820e-09,***,Cholesteryl Esters in Small HDL
S-HDL-P,"0.277 [0.206,0.348]",4.808e-09,***,Concentration of Small HDL Particles
SFA%,"0.275 [0.194,0.357]",8.077e-06,***,Saturated Fatty Acids to Total-Fatty Acids percentage
Phosphoglyc,"0.266 [0.187,0.346]",9.340e-06,***,Phosphoglycerides
PC,"0.256 [0.177,0.335]",4.734e-05,***,Phosphatidylcholines
L-HDL-PL%,"0.254 [0.161,0.347]",0.020,*,Phospholipids to Total-Lipids in Large HDL percentage
Cholines,"0.243 [0.163,0.322]",4.691e-04,***,Total-Cholines
L-HDL-PL,"0.243 [0.168,0.318]",5.264e-05,***,Phospholipids in Large HDL
S-HDL-PL%,"0.234 [0.160,0.308]",1.306e-04,***,Phospholipids to Total-Lipids in Small HDL percentage
L-HDL-L,"0.216 [0.139,0.293]",0.009,**,Total-Lipids in Large HDL
XL-VLDL-PL%,"-0.163 [-0.221,-0.104]",0.012,*,Phospholipids to Total-Lipids in Very Large VLDL percentage
XS-VLDL-FC%,"-0.226 [-0.310,-0.143]",0.027,*,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-HDL-FC%,"-0.251 [-0.346,-0.157]",0.039,*,Free Cholesterol to Total-Lipids in Very Large HDL percentage
LA%,"-0.313 [-0.398,-0.228]",1.372e-07,***,Linoleic Acid to Total-Fatty Acids percentage
ApoB/ApoA1,"-0.316 [-0.394,-0.238]",3.985e-10,***,Apolipoprotein B to Apolipoprotein A1 ratio
