Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
DHA%,"1.097 [0.950,1.268]",1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
PUFA/MUFA,"1.078 [0.930,1.251]",1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-LDL-FC%,"1.049 [0.908,1.212]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-CE,"1.013 [0.852,1.206]",1.000,,Cholesteryl Esters in HDL
HDL-C,"1.008 [0.847,1.201]",1.000,,HDL Cholesterol
Tyr,"0.985 [0.841,1.154]",1.000,,Tyrosine
Ile,"0.943 [0.810,1.098]",1.000,,Isoleucine
Leu,"0.936 [0.802,1.093]",1.000,,Leucine
M-VLDL-C%,"0.931 [0.807,1.075]",1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
Phe,"0.920 [0.790,1.072]",1.000,,Phenylalanine
