Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-HDL-P,"1.077 [1.058,1.096]",4.847e-11,***,Concentration of Large HDL Particles
HDL-FC,"1.073 [1.056,1.090]",3.783e-13,***,Free Cholesterol in HDL
L-HDL-L,"1.071 [1.054,1.089]",4.593e-11,***,Total-Lipids in Large HDL
HDL-C,"1.070 [1.054,1.086]",2.865e-13,***,HDL Cholesterol
L-HDL-C,"1.070 [1.052,1.088]",1.271e-09,***,Cholesterol in Large HDL
L-HDL-CE,"1.070 [1.051,1.088]",2.296e-09,***,Cholesteryl Esters in Large HDL
L-HDL-FC,"1.069 [1.051,1.088]",1.353e-08,***,Free Cholesterol in Large HDL
HDL-CE,"1.068 [1.052,1.084]",1.690e-12,***,Cholesteryl Esters in HDL
HDL-L,"1.068 [1.053,1.084]",8.685e-14,***,Total-Lipids in HDL
L-HDL-PL,"1.068 [1.050,1.085]",1.385e-09,***,Phospholipids in Large HDL
ApoA1,"1.066 [1.051,1.081]",2.503e-13,***,Apolipoprotein A1
M-HDL-FC,"1.065 [1.049,1.081]",1.419e-11,***,Free Cholesterol in Medium HDL
HDL-PL,"1.064 [1.049,1.079]",6.111e-12,***,Phospholipids in HDL
HDL-size,"1.064 [1.047,1.081]",1.682e-08,***,Average Diameter for HDL Particles
M-HDL-P,"1.063 [1.048,1.079]",1.796e-11,***,Concentration of Medium HDL Particles
PC,"1.060 [1.046,1.074]",2.849e-12,***,Phosphatidylcholines
M-HDL-C,"1.060 [1.045,1.075]",2.484e-10,***,Cholesterol in Medium HDL
HDL-P,"1.060 [1.045,1.074]",6.281e-11,***,Concentration of HDL Particles
Total-P,"1.060 [1.045,1.074]",3.497e-11,***,Total-Concentration of Lipoprotein Particles
XL-HDL-P,"1.059 [1.040,1.077]",4.745e-05,***,Concentration of Very Large HDL Particles
M-HDL-L,"1.058 [1.044,1.073]",1.182e-10,***,Total-Lipids in Medium HDL
M-HDL-CE,"1.058 [1.043,1.073]",1.096e-09,***,Cholesteryl Esters in Medium HDL
Cholines,"1.057 [1.043,1.071]",4.935e-11,***,Total-Cholines
M-HDL-FC%,"1.057 [1.042,1.071]",3.593e-10,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
M-HDL-PL,"1.056 [1.041,1.070]",2.451e-09,***,Phospholipids in Medium HDL
Phosphoglyc,"1.055 [1.041,1.069]",2.744e-10,***,Phosphoglycerides
XL-HDL-CE,"1.054 [1.036,1.073]",9.368e-04,***,Cholesteryl Esters in Very Large HDL
Total-PL,"1.051 [1.037,1.065]",1.186e-08,***,Total-Phospholipids in Lipoprotein Particles
XL-HDL-L,"1.049 [1.031,1.068]",0.010,**,Total-Lipids in Very Large HDL
XL-HDL-C,"1.048 [1.030,1.067]",0.029,*,Cholesterol in Very Large HDL
Albumin,"1.048 [1.035,1.062]",2.498e-07,***,Albumin
PUFA,"1.045 [1.032,1.059]",1.616e-06,***,Polyunsaturated Fatty Acids
LA,"1.045 [1.032,1.058]",1.527e-06,***,Linoleic Acid
L-HDL-TG,"1.044 [1.029,1.058]",3.742e-04,***,Triglycerides in Large HDL
S-HDL-FC,"1.043 [1.030,1.057]",4.311e-05,***,Free Cholesterol in Small HDL
DHA,"1.042 [1.028,1.056]",3.343e-04,***,Docosahexaenoic Acid
Omega-6,"1.042 [1.029,1.055]",4.166e-05,***,Omega-6 Fatty Acids
Total-CE,"1.042 [1.029,1.055]",7.438e-05,***,Total-Esterified Cholesterol
Total-C,"1.041 [1.028,1.054]",1.304e-04,***,Total-Cholesterol
S-HDL-PL,"1.040 [1.027,1.054]",5.593e-04,***,Phospholipids in Small HDL
Total-L,"1.040 [1.027,1.053]",2.202e-04,***,Total-Lipids in Lipoprotein Particles
S-LDL-CE%,"1.039 [1.026,1.053]",0.001,**,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-HDL-L,"1.039 [1.026,1.053]",0.002,**,Total-Lipids in Small HDL
Total-FC,"1.039 [1.025,1.052]",0.001,**,Total-Free Cholesterol
Citrate,"1.038 [1.024,1.052]",0.011,*,Citrate
S-HDL-C,"1.037 [1.024,1.050]",0.009,**,Cholesterol in Small HDL
Omega-3,"1.036 [1.023,1.050]",0.028,*,Omega-3 Fatty Acids
S-HDL-P,"1.036 [1.023,1.050]",0.018,*,Concentration of Small HDL Particles
GlycA,"0.965 [0.953,0.978]",0.035,*,Glycoprotein Acetyls
M-HDL-PL%,"0.965 [0.952,0.977]",0.017,*,Phospholipids to Total-Lipids in Medium HDL percentage
XS-VLDL-PL%,"0.964 [0.952,0.977]",0.005,**,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-LDL-PL%,"0.964 [0.951,0.977]",0.009,**,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-PL%,"0.963 [0.951,0.976]",0.004,**,Phospholipids to Total-Lipids in Medium LDL percentage
XL-HDL-FC%,"0.943 [0.930,0.957]",5.366e-11,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
