Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
L-HDL-P,"0.306 [0.305,0.307]",0.000e+00,***,Concentration of Large HDL Particles
L-HDL-CE,"0.298 [0.297,0.299]",0.000e+00,***,Cholesteryl Esters in Large HDL
L-HDL-C,"0.293 [0.292,0.295]",0.000e+00,***,Cholesterol in Large HDL
L-HDL-FC,"0.285 [0.284,0.287]",0.000e+00,***,Free Cholesterol in Large HDL
HDL-CE,"0.282 [0.281,0.283]",0.000e+00,***,Cholesteryl Esters in HDL
HDL-C,"0.280 [0.279,0.281]",0.000e+00,***,HDL Cholesterol
L-HDL-L,"0.278 [0.277,0.280]",0.000e+00,***,Total-Lipids in Large HDL
L-HDL-PL,"0.275 [0.274,0.277]",0.000e+00,***,Phospholipids in Large HDL
HDL-FC,"0.268 [0.267,0.270]",0.000e+00,***,Free Cholesterol in HDL
M-HDL-FC,"0.244 [0.242,0.245]",0.000e+00,***,Free Cholesterol in Medium HDL
HDL-L,"0.243 [0.242,0.244]",0.000e+00,***,Total-Lipids in HDL
M-HDL-CE,"0.243 [0.242,0.244]",0.000e+00,***,Cholesteryl Esters in Medium HDL
M-HDL-C,"0.243 [0.242,0.244]",0.000e+00,***,Cholesterol in Medium HDL
HDL-size,"0.236 [0.234,0.238]",0.000e+00,***,Average Diameter for HDL Particles
M-HDL-P,"0.235 [0.234,0.236]",0.000e+00,***,Concentration of Medium HDL Particles
XL-HDL-CE,"0.234 [0.232,0.236]",0.000e+00,***,Cholesteryl Esters in Very Large HDL
ApoA1,"0.231 [0.230,0.232]",0.000e+00,***,Apolipoprotein A1
HDL-PL,"0.226 [0.225,0.227]",0.000e+00,***,Phospholipids in HDL
HDL-P,"0.217 [0.216,0.218]",0.000e+00,***,Concentration of HDL Particles
M-HDL-FC%,"0.214 [0.212,0.215]",0.000e+00,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
M-HDL-L,"0.209 [0.208,0.210]",0.000e+00,***,Total-Lipids in Medium HDL
XL-HDL-C,"0.208 [0.206,0.210]",0.000e+00,***,Cholesterol in Very Large HDL
Total-P,"0.205 [0.204,0.206]",0.000e+00,***,Total-Concentration of Lipoprotein Particles
XL-HDL-P,"0.202 [0.200,0.204]",0.000e+00,***,Concentration of Very Large HDL Particles
XL-HDL-L,"0.195 [0.193,0.197]",0.000e+00,***,Total-Lipids in Very Large HDL
M-HDL-PL,"0.193 [0.191,0.194]",0.000e+00,***,Phospholipids in Medium HDL
XL-HDL-PL,"0.191 [0.189,0.193]",0.000e+00,***,Phospholipids in Very Large HDL
M-HDL-C%,"0.164 [0.163,0.166]",0.000e+00,***,Cholesterol to Total-Lipids in Medium HDL percentage
PC,"0.153 [0.152,0.155]",0.000e+00,***,Phosphatidylcholines
Cholines,"0.146 [0.145,0.148]",0.000e+00,***,Total-Cholines
SM,"0.142 [0.140,0.143]",0.000e+00,***,Sphingomyelins
Phosphoglyc,"0.137 [0.135,0.138]",0.000e+00,***,Phosphoglycerides
S-HDL-C,"0.135 [0.133,0.137]",0.000e+00,***,Cholesterol in Small HDL
S-HDL-CE,"0.133 [0.132,0.135]",0.000e+00,***,Cholesteryl Esters in Small HDL
M-HDL-CE%,"0.127 [0.125,0.128]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
S-HDL-FC,"0.126 [0.124,0.127]",0.000e+00,***,Free Cholesterol in Small HDL
S-HDL-P,"0.123 [0.121,0.125]",0.000e+00,***,Concentration of Small HDL Particles
L-HDL-C%,"0.123 [0.122,0.125]",0.000e+00,***,Cholesterol to Total-Lipids in Large HDL percentage
Total-PL,"0.121 [0.120,0.123]",0.000e+00,***,Total-Phospholipids in Lipoprotein Particles
S-HDL-PL,"0.118 [0.116,0.119]",0.000e+00,***,Phospholipids in Small HDL
L-HDL-CE%,"0.118 [0.116,0.119]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XS-VLDL-CE%,"0.117 [0.115,0.118]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
S-HDL-L,"0.114 [0.112,0.116]",0.000e+00,***,Total-Lipids in Small HDL
IDL-C%,"0.114 [0.112,0.115]",0.000e+00,***,Cholesterol to Total-Lipids in IDL percentage
IDL-CE%,"0.113 [0.111,0.114]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in IDL percentage
Total-CE,"0.113 [0.111,0.114]",0.000e+00,***,Total-Esterified Cholesterol
L-LDL-FC%,"0.111 [0.109,0.113]",0.000e+00,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-C%,"0.109 [0.108,0.111]",0.000e+00,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
L-LDL-C%,"0.106 [0.104,0.107]",0.000e+00,***,Cholesterol to Total-Lipids in Large LDL percentage
XL-HDL-FC,"0.105 [0.103,0.107]",0.000e+00,***,Free Cholesterol in Very Large HDL
Total-C,"0.103 [0.101,0.104]",0.000e+00,***,Total-Cholesterol
IDL-CE,"0.100 [0.099,0.102]",0.000e+00,***,Cholesteryl Esters in IDL
S-VLDL-PL%,"0.100 [0.099,0.102]",0.000e+00,***,Phospholipids to Total-Lipids in Small VLDL percentage
M-LDL-FC%,"0.100 [0.098,0.102]",0.000e+00,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
IDL-C,"0.099 [0.097,0.100]",0.000e+00,***,Cholesterol in IDL
S-VLDL-FC%,"0.098 [0.097,0.100]",0.000e+00,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
IDL-FC,"0.094 [0.093,0.096]",0.000e+00,***,Free Cholesterol in IDL
PUFA/MUFA,"0.093 [0.091,0.094]",0.000e+00,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-VLDL-C%,"0.092 [0.090,0.093]",0.000e+00,***,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,"0.089 [0.087,0.090]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XL-HDL-CE%,"0.088 [0.087,0.090]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
S-LDL-C%,"0.088 [0.086,0.089]",0.000e+00,***,Cholesterol to Total-Lipids in Small LDL percentage
IDL-L,"0.087 [0.085,0.089]",0.000e+00,***,Total-Lipids in IDL
Unsaturation,"0.087 [0.085,0.088]",0.000e+00,***,Degree of Unsaturation
L-LDL-FC,"0.084 [0.082,0.085]",0.000e+00,***,Free Cholesterol in Large LDL
M-VLDL-FC%,"0.083 [0.082,0.085]",0.000e+00,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
