Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
HDL-CE,"0.083 [-0.109,0.274]",1.000,,Cholesteryl Esters in HDL
VLDL-C,"0.079 [-0.084,0.242]",1.000,,VLDL Cholesterol
Total-C,"0.067 [-0.096,0.230]",1.000,,Total-Cholesterol
Remnant-C,"0.065 [-0.098,0.229]",1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-PL%,"0.050 [-0.111,0.212]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-LDL-CE%,"-0.001 [-0.161,0.158]",1.000,,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-HDL-PL%,"-0.029 [-0.191,0.134]",1.000,,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-FC%,"-0.078 [-0.228,0.072]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-C%,"-0.104 [-0.255,0.046]",1.000,,Cholesterol to Total-Lipids in Large LDL percentage
IDL-FC%,"-0.140 [-0.289,0.009]",1.000,,Free Cholesterol to Total-Lipids in IDL percentage
