Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,1.45 [1.43-1.47],0.000e+00,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.45 [1.43-1.47],0.000e+00,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.42 [1.40-1.44],0.000e+00,***,Triglycerides to Total-Lipids in Large LDL percentage
S-VLDL-TG%,1.41 [1.39-1.43],0.000e+00,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.41 [1.39-1.43],0.000e+00,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.39 [1.37-1.41],0.000e+00,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-HDL-PL%,1.32 [1.31-1.34],0.000e+00,***,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-PL%,1.31 [1.29-1.32],0.000e+00,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-VLDL-TG%,1.29 [1.27-1.31],1.918e-222,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-LDL-TG%,1.26 [1.24-1.28],2.637e-273,***,Triglycerides to Total-Lipids in Small LDL percentage
IDL-PL%,1.26 [1.24-1.28],1.322e-273,***,Phospholipids to Total-Lipids in IDL percentage
S-LDL-PL%,1.20 [1.19-1.22],1.268e-168,***,Phospholipids to Total-Lipids in Small LDL percentage
XXL-VLDL-PL%,1.19 [1.17-1.20],1.883e-118,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-PL%,1.17 [1.16-1.19],3.358e-115,***,Phospholipids to Total-Lipids in Medium HDL percentage
L-VLDL-TG%,1.17 [1.15-1.19],7.524e-115,***,Triglycerides to Total-Lipids in Large VLDL percentage
S-HDL-PL%,1.13 [1.12-1.15],1.358e-72,***,Phospholipids to Total-Lipids in Small HDL percentage
M-LDL-PL%,1.13 [1.11-1.14],2.467e-67,***,Phospholipids to Total-Lipids in Medium LDL percentage
XL-HDL-FC%,1.13 [1.11-1.14],3.881e-53,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Creatinine,1.12 [1.11-1.14],2.513e-53,***,Creatinine
MUFA%,1.12 [1.11-1.14],9.569e-57,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
