Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,"0.075 [0.064,0.087]",2.193e-34,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
GlycA,"0.075 [0.063,0.087]",9.480e-32,***,Glycoprotein Acetyls
S-HDL-TG%,"0.073 [0.061,0.085]",2.383e-28,***,Triglycerides to Total-Lipids in Small HDL percentage
M-HDL-PL%,"0.072 [0.060,0.084]",2.555e-28,***,Phospholipids to Total-Lipids in Medium HDL percentage
L-LDL-TG%,"0.072 [0.060,0.083]",5.452e-31,***,Triglycerides to Total-Lipids in Large LDL percentage
M-HDL-TG%,"0.068 [0.056,0.080]",7.250e-25,***,Triglycerides to Total-Lipids in Medium HDL percentage
MUFA%,"0.067 [0.054,0.079]",1.585e-23,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-TG%,"0.063 [0.052,0.075]",1.119e-23,***,Triglycerides to Total-Lipids in IDL percentage
IDL-TG,"0.062 [0.051,0.074]",1.767e-23,***,Triglycerides in IDL
L-HDL-TG%,"0.062 [0.050,0.074]",2.381e-20,***,Triglycerides to Total-Lipids in Large HDL percentage
L-LDL-TG,"0.061 [0.050,0.073]",1.066e-22,***,Triglycerides in Large LDL
M-LDL-TG%,"0.061 [0.050,0.072]",1.985e-22,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG,"0.058 [0.047,0.070]",2.626e-20,***,Triglycerides in Very Small VLDL
LDL-TG,"0.057 [0.046,0.068]",1.976e-19,***,Triglycerides in LDL
M-LDL-TG,"0.052 [0.041,0.063]",4.643e-16,***,Triglycerides in Medium LDL
L-VLDL-PL%,"0.052 [0.039,0.064]",1.072e-12,***,Phospholipids to Total-Lipids in Large VLDL percentage
TG/PG,"0.051 [0.039,0.063]",8.882e-13,***,Triglycerides to Phosphoglycerides ratio
XS-VLDL-PL,"0.049 [0.038,0.060]",1.008e-13,***,Phospholipids in Very Small VLDL
S-HDL-TG,"0.045 [0.034,0.057]",1.104e-10,***,Triglycerides in Small HDL
IDL-PL%,"0.043 [0.032,0.054]",1.351e-10,***,Phospholipids to Total-Lipids in IDL percentage
ApoB/ApoA1,"0.042 [0.031,0.054]",9.757e-10,***,Apolipoprotein B to Apolipoprotein A1 ratio
Creatinine,"0.042 [0.030,0.055]",2.008e-07,***,Creatinine
S-LDL-TG%,"0.042 [0.030,0.053]",3.313e-09,***,Triglycerides to Total-Lipids in Small LDL percentage
XL-HDL-FC%,"0.041 [0.028,0.054]",1.920e-06,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
S-LDL-TG,"0.041 [0.029,0.052]",6.666e-09,***,Triglycerides in Small LDL
XS-VLDL-L,"0.040 [0.029,0.052]",1.292e-08,***,Total-Lipids in Very Small VLDL
XS-VLDL-P,"0.039 [0.028,0.051]",3.347e-08,***,Concentration of Very Small VLDL Particles
XL-HDL-TG%,"0.039 [0.027,0.051]",4.842e-07,***,Triglycerides to Total-Lipids in Very Large HDL percentage
SFA%,"0.039 [0.027,0.050]",7.831e-08,***,Saturated Fatty Acids to Total-Fatty Acids percentage
S-VLDL-P,"0.038 [0.027,0.050]",1.377e-07,***,Concentration of Small VLDL Particles
S-VLDL-TG,"0.038 [0.027,0.050]",2.568e-07,***,Triglycerides in Small VLDL
XS-VLDL-FC,"0.038 [0.027,0.050]",1.672e-07,***,Free Cholesterol in Very Small VLDL
XL-HDL-TG,"0.036 [0.024,0.047]",1.782e-06,***,Triglycerides in Very Large HDL
XS-VLDL-TG%,"0.036 [0.024,0.047]",9.541e-06,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-VLDL-PL,"0.035 [0.023,0.046]",1.618e-05,***,Phospholipids in Large VLDL
VLDL-P,"0.034 [0.023,0.045]",1.037e-05,***,Concentration of VLDL Particles
Total-TG,"0.034 [0.022,0.046]",3.035e-05,***,Total-Triglycerides
MUFA,"0.034 [0.023,0.045]",1.979e-05,***,Monounsaturated Fatty Acids
S-VLDL-L,"0.034 [0.022,0.045]",1.878e-05,***,Total-Lipids in Small VLDL
Phe,"0.034 [0.022,0.045]",2.093e-05,***,Phenylalanine
S-VLDL-CE,"0.033 [0.022,0.045]",2.552e-05,***,Cholesteryl Esters in Small VLDL
XL-VLDL-P,"0.033 [0.022,0.045]",6.537e-05,***,Concentration of Very Large VLDL Particles
HDL-TG,"0.033 [0.022,0.044]",4.170e-05,***,Triglycerides in HDL
XL-VLDL-PL,"0.033 [0.021,0.044]",1.351e-04,***,Phospholipids in Very Large VLDL
L-VLDL-FC,"0.032 [0.021,0.044]",2.092e-04,***,Free Cholesterol in Large VLDL
L-HDL-PL%,"0.032 [0.020,0.044]",3.081e-04,***,Phospholipids to Total-Lipids in Large HDL percentage
XL-VLDL-FC,"0.032 [0.020,0.043]",3.074e-04,***,Free Cholesterol in Very Large VLDL
L-VLDL-P,"0.031 [0.020,0.043]",3.631e-04,***,Concentration of Large VLDL Particles
VLDL-PL,"0.031 [0.020,0.043]",2.600e-04,***,Phospholipids in VLDL
XL-VLDL-L,"0.031 [0.020,0.043]",5.760e-04,***,Total-Lipids in Very Large VLDL
XL-VLDL-TG,"0.030 [0.019,0.042]",0.001,**,Triglycerides in Very Large VLDL
XL-VLDL-C,"0.030 [0.019,0.042]",9.972e-04,***,Cholesterol in Very Large VLDL
L-VLDL-C,"0.030 [0.019,0.042]",0.001,**,Cholesterol in Large VLDL
VLDL-TG,"0.029 [0.017,0.040]",0.005,**,Triglycerides in VLDL
Tyr,"0.028 [0.017,0.040]",0.005,**,Tyrosine
XL-VLDL-CE,"0.028 [0.017,0.040]",0.006,**,Cholesteryl Esters in Very Large VLDL
S-VLDL-C,"0.028 [0.017,0.039]",0.004,**,Cholesterol in Small VLDL
M-HDL-TG,"0.028 [0.016,0.039]",0.007,**,Triglycerides in Medium HDL
L-VLDL-CE,"0.028 [0.016,0.039]",0.008,**,Cholesteryl Esters in Large VLDL
L-VLDL-L,"0.028 [0.016,0.039]",0.012,*,Total-Lipids in Large VLDL
VLDL-L,"0.027 [0.016,0.039]",0.009,**,Total-Lipids in VLDL
XXL-VLDL-CE,"0.027 [0.016,0.039]",0.016,*,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
VLDL-FC,"0.027 [0.016,0.038]",0.012,*,Free Cholesterol in VLDL
XXL-VLDL-P,"0.026 [0.015,0.038]",0.025,*,Concentration of Chylomicrons and Extremely Large VLDL Particles
S-VLDL-PL,"0.026 [0.015,0.037]",0.019,*,Phospholipids in Small VLDL
L-VLDL-FC%,"0.026 [0.014,0.037]",0.047,*,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-HDL-L,"-0.026 [-0.037,-0.014]",0.030,*,Total-Lipids in Small HDL
IDL-FC%,"-0.026 [-0.037,-0.015]",0.012,*,Free Cholesterol to Total-Lipids in IDL percentage
Gly,"-0.029 [-0.042,-0.017]",0.018,*,Glycine
XL-HDL-CE,"-0.031 [-0.044,-0.017]",0.025,*,Cholesteryl Esters in Very Large HDL
L-LDL-CE%,"-0.032 [-0.043,-0.020]",1.119e-04,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Acetate,"-0.032 [-0.043,-0.020]",1.806e-04,***,Acetate
