Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-PL%,1.13 [1.08-1.18],2.182e-04,***,Phospholipids to Total-Lipids in Small HDL percentage
M-LDL-TG%,1.13 [1.08-1.17],1.772e-04,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-LDL-TG%,1.12 [1.07-1.17],0.002,**,Triglycerides to Total-Lipids in Large LDL percentage
S-VLDL-TG%,1.12 [1.07-1.17],0.005,**,Triglycerides to Total-Lipids in Small VLDL percentage
IDL-TG%,1.11 [1.07-1.16],0.009,**,Triglycerides to Total-Lipids in IDL percentage
S-LDL-TG%,1.11 [1.06-1.16],0.011,*,Triglycerides to Total-Lipids in Small LDL percentage
M-LDL-C%,0.91 [0.87-0.95],0.025,*,Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-CE%,0.91 [0.87-0.95],0.029,*,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-LDL-FC,0.91 [0.87-0.95],0.050,*,Free Cholesterol in Small LDL
M-VLDL-C%,0.91 [0.87-0.95],0.041,*,Cholesterol to Total-Lipids in Medium VLDL percentage
IDL-C%,0.91 [0.87-0.95],0.020,*,Cholesterol to Total-Lipids in IDL percentage
XL-HDL-CE%,0.90 [0.87-0.94],0.015,*,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XXL-VLDL-CE%,0.90 [0.87-0.94],0.047,*,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-VLDL-CE%,0.90 [0.86-0.93],0.001,**,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-VLDL-PL%,0.90 [0.86-0.94],0.005,**,Phospholipids to Total-Lipids in Small VLDL percentage
XL-HDL-C%,0.90 [0.86-0.94],0.020,*,Cholesterol to Total-Lipids in Very Large HDL percentage
S-VLDL-FC%,0.90 [0.86-0.94],0.003,**,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-LDL-C%,0.90 [0.86-0.93],4.850e-04,***,Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-CE%,0.89 [0.86-0.93],7.954e-04,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
S-HDL-C%,0.89 [0.86-0.93],9.343e-04,***,Cholesterol to Total-Lipids in Small HDL percentage
S-VLDL-C%,0.89 [0.86-0.93],4.976e-04,***,Cholesterol to Total-Lipids in Small VLDL percentage
