Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.14 [1.13-1.15],2.515e-153,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.14 [1.13-1.15],1.236e-140,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.13 [1.12-1.14],4.810e-138,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.13 [1.12-1.14],1.188e-123,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-PL%,1.11 [1.10-1.12],2.500e-97,***,Phospholipids to Total-Lipids in IDL percentage
XS-VLDL-TG%,1.10 [1.09-1.11],2.386e-77,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.09 [1.08-1.11],1.453e-62,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-PL%,1.09 [1.08-1.10],1.977e-67,***,Phospholipids to Total-Lipids in Small LDL percentage
S-VLDL-TG%,1.09 [1.08-1.10],2.132e-64,***,Triglycerides to Total-Lipids in Small VLDL percentage
GlycA,1.08 [1.07-1.10],3.105e-52,***,Glycoprotein Acetyls
S-LDL-TG%,1.08 [1.07-1.09],5.271e-54,***,Triglycerides to Total-Lipids in Small LDL percentage
M-VLDL-TG%,1.08 [1.07-1.09],4.452e-48,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-HDL-PL%,1.08 [1.07-1.09],7.860e-47,***,Phospholipids to Total-Lipids in Large HDL percentage
MUFA%,1.07 [1.06-1.08],8.722e-34,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-PL%,1.07 [1.05-1.08],2.393e-32,***,Phospholipids to Total-Lipids in Small HDL percentage
Omega-6/Omega-3,1.06 [1.05-1.07],2.862e-31,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-HDL-TG%,1.05 [1.04-1.06],6.434e-16,***,Triglycerides to Total-Lipids in Small HDL percentage
XXL-VLDL-PL%,1.04 [1.03-1.05],5.739e-13,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-TG%,1.04 [1.03-1.05],2.581e-11,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-LDL-PL%,1.04 [1.03-1.05],1.842e-10,***,Phospholipids to Total-Lipids in Medium LDL percentage
XL-HDL-PL%,1.04 [1.03-1.05],1.936e-08,***,Phospholipids to Total-Lipids in Very Large HDL percentage
Phe,1.04 [1.03-1.05],4.065e-09,***,Phenylalanine
M-HDL-TG%,1.04 [1.02-1.05],7.597e-08,***,Triglycerides to Total-Lipids in Medium HDL percentage
L-HDL-TG%,1.03 [1.02-1.04],6.018e-05,***,Triglycerides to Total-Lipids in Large HDL percentage
S-VLDL-TG,0.98 [0.97-0.99],0.050,*,Triglycerides in Small VLDL
