Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-LDL-PL%,"0.109 [0.080,0.138]",1.241e-09,***,Phospholipids to Total-Lipids in Small LDL percentage
XS-VLDL-PL%,"0.097 [0.067,0.126]",8.796e-07,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,"0.087 [0.055,0.118]",3.578e-04,***,Phospholipids to Total-Lipids in Medium HDL percentage
IDL-PL%,"0.074 [0.045,0.102]",0.003,**,Phospholipids to Total-Lipids in IDL percentage
M-LDL-PL%,"0.071 [0.042,0.101]",0.016,*,Phospholipids to Total-Lipids in Medium LDL percentage
Clinical LDL-C,"-0.066 [-0.095,-0.038]",0.041,*,Clinical LDL Cholesterol
M-LDL-CE%,"-0.068 [-0.097,-0.039]",0.034,*,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
L-LDL-CE%,"-0.068 [-0.096,-0.039]",0.018,*,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Non-HDL-C,"-0.068 [-0.097,-0.039]",0.024,*,Total-Cholesterol Minus HDL-C
XL-HDL-CE%,"-0.068 [-0.098,-0.038]",0.044,*,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
M-LDL-P,"-0.069 [-0.098,-0.039]",0.036,*,Concentration of Medium LDL Particles
LDL-PL,"-0.069 [-0.099,-0.040]",0.019,*,Phospholipids in LDL
LDL-FC,"-0.070 [-0.099,-0.040]",0.022,*,Free Cholesterol in LDL
S-LDL-CE,"-0.070 [-0.099,-0.041]",0.019,*,Cholesteryl Esters in Small LDL
M-LDL-FC,"-0.070 [-0.100,-0.041]",0.018,*,Free Cholesterol in Medium LDL
M-LDL-PL,"-0.072 [-0.101,-0.042]",0.011,*,Phospholipids in Medium LDL
HDL-TG,"-0.073 [-0.103,-0.043]",0.014,*,Triglycerides in HDL
L-LDL-FC,"-0.074 [-0.103,-0.044]",0.008,**,Free Cholesterol in Large LDL
LDL-L,"-0.075 [-0.104,-0.046]",0.002,**,Total-Lipids in LDL
L-HDL-TG,"-0.076 [-0.107,-0.045]",0.011,*,Triglycerides in Large HDL
L-LDL-PL,"-0.076 [-0.105,-0.046]",0.003,**,Phospholipids in Large LDL
M-LDL-L,"-0.077 [-0.106,-0.048]",0.002,**,Total-Lipids in Medium LDL
LDL-C,"-0.077 [-0.106,-0.048]",0.001,**,LDL Cholesterol
DHA,"-0.078 [-0.109,-0.047]",0.005,**,Docosahexaenoic Acid
L-LDL-L,"-0.078 [-0.107,-0.049]",9.261e-04,***,Total-Lipids in Large LDL
M-HDL-TG,"-0.078 [-0.108,-0.048]",0.003,**,Triglycerides in Medium HDL
M-LDL-C,"-0.078 [-0.107,-0.049]",8.356e-04,***,Cholesterol in Medium LDL
L-LDL-C,"-0.079 [-0.108,-0.050]",7.437e-04,***,Cholesterol in Large LDL
LDL-CE,"-0.080 [-0.108,-0.051]",4.284e-04,***,Cholesteryl Esters in LDL
M-LDL-CE,"-0.081 [-0.110,-0.052]",4.047e-04,***,Cholesteryl Esters in Medium LDL
L-LDL-CE,"-0.081 [-0.110,-0.052]",3.630e-04,***,Cholesteryl Esters in Large LDL
Omega-3,"-0.081 [-0.111,-0.051]",9.690e-04,***,Omega-3 Fatty Acids
L-HDL-L,"-0.081 [-0.116,-0.047]",0.032,*,Total-Lipids in Large HDL
L-HDL-P,"-0.082 [-0.117,-0.047]",0.035,*,Concentration of Large HDL Particles
S-LDL-C%,"-0.083 [-0.111,-0.055]",6.738e-05,***,Cholesterol to Total-Lipids in Small LDL percentage
L-HDL-PL,"-0.085 [-0.119,-0.050]",0.012,*,Phospholipids in Large HDL
MUFA,"-0.085 [-0.116,-0.055]",2.067e-04,***,Monounsaturated Fatty Acids
Total-FC,"-0.087 [-0.117,-0.058]",3.429e-05,***,Total-Free Cholesterol
LA,"-0.096 [-0.125,-0.067]",4.802e-07,***,Linoleic Acid
Total-C,"-0.098 [-0.127,-0.068]",3.804e-07,***,Total-Cholesterol
S-LDL-CE%,"-0.099 [-0.128,-0.071]",5.865e-08,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Total-CE,"-0.102 [-0.131,-0.073]",6.406e-08,***,Total-Esterified Cholesterol
SFA,"-0.103 [-0.132,-0.073]",7.179e-08,***,Saturated Fatty Acids
SM,"-0.104 [-0.135,-0.073]",3.093e-07,***,Sphingomyelins
Total-L,"-0.105 [-0.134,-0.076]",5.838e-09,***,Total-Lipids in Lipoprotein Particles
Total-FA,"-0.106 [-0.136,-0.077]",8.226e-09,***,Total-Fatty Acids
Omega-6,"-0.110 [-0.140,-0.081]",1.013e-09,***,Omega-6 Fatty Acids
PUFA,"-0.116 [-0.145,-0.086]",8.177e-11,***,Polyunsaturated Fatty Acids
Total-PL,"-0.127 [-0.157,-0.097]",6.336e-13,***,Total-Phospholipids in Lipoprotein Particles
M-HDL-FC%,"-0.130 [-0.162,-0.099]",3.069e-12,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
HDL-FC,"-0.134 [-0.168,-0.100]",5.932e-11,***,Free Cholesterol in HDL
HDL-CE,"-0.137 [-0.170,-0.104]",4.440e-12,***,Cholesteryl Esters in HDL
Cholines,"-0.137 [-0.168,-0.107]",5.787e-15,***,Total-Cholines
PC,"-0.138 [-0.169,-0.108]",5.119e-15,***,Phosphatidylcholines
HDL-C,"-0.139 [-0.173,-0.106]",1.970e-12,***,HDL Cholesterol
S-HDL-CE,"-0.140 [-0.169,-0.110]",5.431e-17,***,Cholesteryl Esters in Small HDL
Phosphoglyc,"-0.140 [-0.170,-0.110]",1.009e-15,***,Phosphoglycerides
HDL-PL,"-0.143 [-0.175,-0.110]",4.918e-14,***,Phospholipids in HDL
M-HDL-CE,"-0.144 [-0.176,-0.112]",8.563e-15,***,Cholesteryl Esters in Medium HDL
M-HDL-PL,"-0.145 [-0.177,-0.114]",9.077e-16,***,Phospholipids in Medium HDL
S-HDL-P,"-0.146 [-0.176,-0.117]",1.550e-18,***,Concentration of Small HDL Particles
M-HDL-C,"-0.146 [-0.178,-0.114]",2.229e-15,***,Cholesterol in Medium HDL
S-HDL-C,"-0.147 [-0.176,-0.117]",5.665e-19,***,Cholesterol in Small HDL
HDL-L,"-0.147 [-0.180,-0.114]",7.366e-15,***,Total-Lipids in HDL
S-HDL-PL,"-0.148 [-0.178,-0.118]",7.585e-19,***,Phospholipids in Small HDL
S-HDL-L,"-0.149 [-0.178,-0.120]",1.196e-19,***,Total-Lipids in Small HDL
M-HDL-P,"-0.149 [-0.182,-0.117]",7.264e-16,***,Concentration of Medium HDL Particles
M-HDL-FC,"-0.150 [-0.182,-0.117]",1.890e-15,***,Free Cholesterol in Medium HDL
S-HDL-FC,"-0.150 [-0.180,-0.120]",6.174e-19,***,Free Cholesterol in Small HDL
M-HDL-L,"-0.150 [-0.182,-0.119]",5.966e-17,***,Total-Lipids in Medium HDL
