Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-TG%,2.86 [2.68-3.05],8.086e-214,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-VLDL-TG%,2.79 [2.65-2.92],0.000e+00,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,2.74 [2.62-2.87],0.000e+00,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-TG%,2.62 [2.52-2.74],0.000e+00,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,2.40 [2.31-2.49],0.000e+00,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,2.23 [2.15-2.32],0.000e+00,***,Triglycerides to Total-Lipids in Large LDL percentage
Glu-lactate,2.17 [2.10-2.25],0.000e+00,***,Glucose-lactate
Glu,2.14 [2.06-2.23],0.000e+00,***,Glucose
XS-VLDL-PL%,2.11 [2.03-2.20],1.691e-303,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,2.10 [2.02-2.18],0.000e+00,***,Triglycerides to Total-Lipids in Medium LDL percentage
Sc-ala,2.00 [1.93-2.07],3.470e-300,***,Spectrometer-corrected alanine
L-HDL-PL%,1.90 [1.84-1.97],2.330e-292,***,Phospholipids to Total-Lipids in Large HDL percentage
S-LDL-TG%,1.82 [1.75-1.89],7.009e-210,***,Triglycerides to Total-Lipids in Small LDL percentage
Ala,1.81 [1.75-1.88],7.739e-208,***,Alanine
IDL-PL%,1.76 [1.69-1.83],4.673e-167,***,Phospholipids to Total-Lipids in IDL percentage
L-VLDL-TG%,1.75 [1.67-1.83],8.193e-126,***,Triglycerides to Total-Lipids in Large VLDL percentage
XL-HDL-FC%,1.57 [1.51-1.64],7.085e-112,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
M-HDL-PL%,1.54 [1.48-1.60],1.659e-107,***,Phospholipids to Total-Lipids in Medium HDL percentage
MUFA%,1.54 [1.48-1.60],7.255e-86,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-PL%,1.50 [1.45-1.56],4.852e-87,***,Phospholipids to Total-Lipids in Small LDL percentage
XXL-VLDL-PL%,1.42 [1.36-1.48],1.165e-46,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
