Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,1.84 [1.59-2.13],6.798e-11,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.83 [1.56-2.15],4.187e-08,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.81 [1.55-2.12],1.103e-08,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XL-VLDL-TG%,1.80 [1.47-2.20],0.002,**,Triglycerides to Total-Lipids in Very Large VLDL percentage
IDL-TG%,1.78 [1.55-2.05],3.236e-11,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.77 [1.55-2.03],2.125e-11,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.70 [1.49-1.94],1.044e-09,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-HDL-PL%,1.56 [1.36-1.78],2.112e-05,***,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-PL%,1.49 [1.29-1.73],0.010,**,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.46 [1.27-1.68],0.018,*,Triglycerides to Total-Lipids in Small LDL percentage
XL-VLDL-PL%,0.72 [0.65-0.81],0.004,**,Phospholipids to Total-Lipids in Very Large VLDL percentage
L-HDL-FC%,0.71 [0.63-0.79],1.227e-04,***,Free Cholesterol to Total-Lipids in Large HDL percentage
XS-VLDL-FC%,0.69 [0.61-0.77],1.290e-04,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-LDL-CE%,0.68 [0.59-0.78],0.010,*,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Total-FA,0.67 [0.58-0.78],0.017,*,Total-Fatty Acids
L-VLDL-CE%,0.67 [0.58-0.77],0.015,*,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-VLDL-CE%,0.67 [0.61-0.73],1.204e-11,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-LDL-FC%,0.67 [0.59-0.76],5.177e-05,***,Free Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-CE%,0.66 [0.58-0.75],4.860e-05,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-HDL-FC%,0.66 [0.58-0.75],7.590e-05,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-VLDL-L,0.65 [0.55-0.76],0.024,*,Total-Lipids in Small VLDL
Phosphoglyc,0.65 [0.56-0.74],2.099e-04,***,Phosphoglycerides
XL-VLDL-CE%,0.64 [0.55-0.75],0.007,**,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-FC%,0.63 [0.54-0.74],0.004,**,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
VLDL-PL,0.63 [0.53-0.74],0.002,**,Phospholipids in VLDL
M-VLDL-C%,0.62 [0.56-0.70],2.725e-11,***,Cholesterol to Total-Lipids in Medium VLDL percentage
XL-VLDL-C%,0.62 [0.53-0.73],0.003,**,Cholesterol to Total-Lipids in Very Large VLDL percentage
PC,0.62 [0.54-0.72],1.193e-05,***,Phosphatidylcholines
IDL-C%,0.62 [0.55-0.69],1.930e-10,***,Cholesterol to Total-Lipids in IDL percentage
L-VLDL-CE,0.62 [0.52-0.73],0.003,**,Cholesteryl Esters in Large VLDL
ApoB/ApoA1,0.62 [0.53-0.72],3.791e-04,***,Apolipoprotein B to Apolipoprotein A1 ratio
XL-VLDL-CE,0.62 [0.52-0.73],0.004,**,Cholesteryl Esters in Very Large VLDL
Cholines,0.62 [0.54-0.71],1.947e-06,***,Total-Cholines
S-HDL-FC%,0.61 [0.52-0.72],3.825e-04,***,Free Cholesterol to Total-Lipids in Small HDL percentage
XL-HDL-FC,0.61 [0.51-0.73],0.009,**,Free Cholesterol in Very Large HDL
S-VLDL-C%,0.61 [0.53-0.69],3.919e-09,***,Cholesterol to Total-Lipids in Small VLDL percentage
Omega-3,0.61 [0.51-0.72],7.877e-04,***,Omega-3 Fatty Acids
LA%,0.61 [0.53-0.69],5.761e-08,***,Linoleic Acid to Total-Fatty Acids percentage
IDL-CE%,0.60 [0.54-0.68],6.803e-11,***,Cholesteryl Esters to Total-Lipids in IDL percentage
M-LDL-C%,0.60 [0.54-0.67],4.568e-14,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-C%,0.60 [0.53-0.67],2.898e-12,***,Cholesterol to Total-Lipids in Small LDL percentage
XS-VLDL-CE%,0.60 [0.53-0.67],7.305e-12,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-VLDL-FC%,0.60 [0.53-0.67],3.394e-12,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XS-VLDL-C%,0.60 [0.53-0.67],9.932e-12,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-PL,0.59 [0.50-0.69],5.117e-05,***,Phospholipids in Very Small VLDL
VLDL-P,0.59 [0.50-0.70],1.605e-04,***,Concentration of VLDL Particles
Total-PL,0.58 [0.51-0.67],4.768e-09,***,Total-Phospholipids in Lipoprotein Particles
SM,0.58 [0.50-0.68],1.684e-07,***,Sphingomyelins
L-LDL-C%,0.58 [0.52-0.66],6.145e-14,***,Cholesterol to Total-Lipids in Large LDL percentage
VLDL-FC,0.58 [0.49-0.69],2.069e-05,***,Free Cholesterol in VLDL
S-VLDL-CE,0.58 [0.49-0.68],2.254e-05,***,Cholesteryl Esters in Small VLDL
M-VLDL-PL%,0.57 [0.51-0.64],5.778e-16,***,Phospholipids to Total-Lipids in Medium VLDL percentage
XL-HDL-C,0.57 [0.47-0.70],0.005,**,Cholesterol in Very Large HDL
XL-HDL-CE,0.57 [0.47-0.70],0.008,**,Cholesteryl Esters in Very Large HDL
M-VLDL-L,0.57 [0.49-0.67],9.859e-07,***,Total-Lipids in Medium VLDL
S-VLDL-FC%,0.57 [0.50-0.64],6.388e-13,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
Total-L,0.56 [0.49-0.64],1.325e-11,***,Total-Lipids in Lipoprotein Particles
XS-VLDL-L,0.56 [0.48-0.66],2.989e-07,***,Total-Lipids in Very Small VLDL
DHA,0.56 [0.47-0.67],1.241e-05,***,Docosahexaenoic Acid
Omega-6,0.56 [0.49-0.64],1.607e-10,***,Omega-6 Fatty Acids
S-VLDL-PL,0.56 [0.47-0.66],1.053e-06,***,Phospholipids in Small VLDL
S-VLDL-C,0.55 [0.47-0.65],3.754e-07,***,Cholesterol in Small VLDL
M-LDL-PL,0.55 [0.47-0.64],1.510e-08,***,Phospholipids in Medium LDL
M-LDL-L,0.55 [0.47-0.64],7.955e-10,***,Total-Lipids in Medium LDL
XS-VLDL-P,0.55 [0.46-0.65],3.484e-07,***,Concentration of Very Small VLDL Particles
S-VLDL-PL%,0.55 [0.48-0.63],3.148e-12,***,Phospholipids to Total-Lipids in Small VLDL percentage
XL-HDL-P,0.55 [0.45-0.67],9.757e-04,***,Concentration of Very Large HDL Particles
PUFA,0.54 [0.47-0.63],6.373e-12,***,Polyunsaturated Fatty Acids
M-LDL-CE,0.54 [0.47-0.63],2.865e-09,***,Cholesteryl Esters in Medium LDL
S-LDL-PL,0.54 [0.46-0.63],4.783e-09,***,Phospholipids in Small LDL
VLDL-C,0.54 [0.46-0.63],1.679e-09,***,VLDL Cholesterol
M-LDL-C,0.54 [0.46-0.63],1.941e-10,***,Cholesterol in Medium LDL
XS-VLDL-FC,0.54 [0.45-0.63],4.111e-08,***,Free Cholesterol in Very Small VLDL
LDL-L,0.53 [0.46-0.61],1.497e-13,***,Total-Lipids in LDL
S-LDL-FC,0.53 [0.46-0.62],2.605e-10,***,Free Cholesterol in Small LDL
