Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.26 [1.19-1.33],1.910e-11,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.24 [1.18-1.31],4.568e-10,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.24 [1.17-1.30],8.971e-10,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,1.21 [1.15-1.28],1.264e-06,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
MUFA%,1.21 [1.14-1.28],2.393e-05,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-VLDL-TG%,1.20 [1.14-1.27],4.674e-05,***,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-PL%,1.20 [1.13-1.27],3.199e-05,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,1.19 [1.13-1.26],1.401e-04,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-HDL-PL%,1.19 [1.12-1.25],2.960e-04,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-TG%,1.18 [1.12-1.25],3.857e-04,***,Triglycerides to Total-Lipids in Small LDL percentage
Creatinine,1.15 [1.09-1.22],0.022,*,Creatinine
XS-VLDL-FC%,0.87 [0.83-0.92],0.047,*,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-HDL-CE,0.86 [0.82-0.91],0.040,*,Cholesteryl Esters in Small HDL
S-HDL-C,0.86 [0.82-0.91],0.021,*,Cholesterol in Small HDL
VLDL-CE,0.86 [0.81-0.91],0.012,*,Cholesteryl Esters in VLDL
XL-VLDL-C%,0.86 [0.81-0.91],0.049,*,Cholesterol to Total-Lipids in Very Large VLDL percentage
PUFA%,0.86 [0.81-0.90],0.004,**,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-P,0.85 [0.81-0.90],0.009,**,Concentration of Small LDL Particles
Phosphoglyc,0.85 [0.81-0.90],0.002,**,Phosphoglycerides
