Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.09 [1.07-1.11],4.605e-13,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.08 [1.06-1.11],4.666e-12,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.08 [1.06-1.10],5.498e-12,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-PL%,1.08 [1.06-1.10],5.032e-11,***,Phospholipids to Total-Lipids in IDL percentage
XS-VLDL-PL%,1.08 [1.06-1.10],1.498e-09,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.07 [1.05-1.09],1.961e-05,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-TG%,1.06 [1.04-1.08],3.793e-05,***,Triglycerides to Total-Lipids in Small LDL percentage
MUFA%,1.06 [1.04-1.08],0.002,**,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-TG%,1.06 [1.04-1.08],8.246e-04,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.06 [1.04-1.08],0.003,**,Triglycerides to Total-Lipids in Small VLDL percentage
S-VLDL-C%,0.95 [0.93-0.97],0.036,*,Cholesterol to Total-Lipids in Small VLDL percentage
S-HDL-L,0.95 [0.93-0.97],0.024,*,Total-Lipids in Small HDL
M-HDL-C%,0.95 [0.93-0.97],0.026,*,Cholesterol to Total-Lipids in Medium HDL percentage
HDL-CE,0.95 [0.93-0.97],0.047,*,Cholesteryl Esters in HDL
S-LDL-P,0.95 [0.93-0.97],0.012,*,Concentration of Small LDL Particles
Phosphoglyc,0.95 [0.93-0.97],0.009,**,Phosphoglycerides
SM,0.95 [0.93-0.96],0.001,**,Sphingomyelins
S-HDL-FC,0.95 [0.93-0.96],0.001,**,Free Cholesterol in Small HDL
PC,0.95 [0.93-0.96],7.643e-04,***,Phosphatidylcholines
PUFA/MUFA,0.95 [0.93-0.96],0.005,**,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-HDL-C%,0.95 [0.93-0.96],7.281e-04,***,Cholesterol to Total-Lipids in Small HDL percentage
M-VLDL-C,0.94 [0.93-0.96],1.996e-04,***,Cholesterol in Medium VLDL
L-LDL-P,0.94 [0.93-0.96],2.150e-04,***,Concentration of Large LDL Particles
HDL-P,0.94 [0.93-0.96],3.806e-04,***,Concentration of HDL Particles
