Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
SFA%,1.10 [1.00-1.21],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
MUFA%,1.07 [0.97-1.19],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,1.06 [0.97-1.16],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA,1.05 [0.96-1.16],1.000,,Monounsaturated Fatty Acids
Omega-6/Omega-3,1.03 [0.94-1.14],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-LDL-FC%,0.98 [0.88-1.08],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Omega-3%,0.95 [0.86-1.04],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-6%,0.91 [0.82-1.00],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
PUFA%,0.89 [0.80-0.99],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
LA%,0.88 [0.79-0.97],1.000,,Linoleic Acid to Total-Fatty Acids percentage
