Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-PL%,1.19 [1.17-1.21],4.656e-140,***,Phospholipids to Total-Lipids in Very Large HDL percentage
HDL-size,1.19 [1.17-1.20],4.987e-161,***,Average Diameter for HDL Particles
L-HDL-L,1.18 [1.17-1.20],1.966e-159,***,Total-Lipids in Large HDL
L-HDL-PL,1.18 [1.17-1.20],4.846e-160,***,Phospholipids in Large HDL
L-HDL-C,1.17 [1.16-1.19],8.340e-143,***,Cholesterol in Large HDL
L-HDL-FC,1.17 [1.16-1.19],2.551e-147,***,Free Cholesterol in Large HDL
Gly,1.17 [1.16-1.19],1.256e-155,***,Glycine
L-HDL-P,1.17 [1.16-1.19],3.832e-142,***,Concentration of Large HDL Particles
L-HDL-CE,1.17 [1.16-1.19],2.701e-137,***,Cholesteryl Esters in Large HDL
XL-HDL-PL,1.16 [1.15-1.18],7.357e-130,***,Phospholipids in Very Large HDL
XL-HDL-L,1.16 [1.14-1.17],1.821e-120,***,Total-Lipids in Very Large HDL
HDL-FC,1.16 [1.14-1.17],5.150e-122,***,Free Cholesterol in HDL
HDL-L,1.15 [1.14-1.17],9.136e-116,***,Total-Lipids in HDL
HDL-PL,1.15 [1.14-1.17],9.038e-117,***,Phospholipids in HDL
HDL-C,1.15 [1.14-1.17],3.863e-111,***,HDL Cholesterol
XL-HDL-CE,1.15 [1.14-1.16],1.548e-109,***,Cholesteryl Esters in Very Large HDL
HDL-CE,1.15 [1.13-1.16],6.573e-105,***,Cholesteryl Esters in HDL
M-HDL-FC%,1.15 [1.13-1.16],1.101e-97,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-C,1.14 [1.13-1.16],1.087e-101,***,Cholesterol in Very Large HDL
XL-HDL-P,1.14 [1.13-1.16],4.634e-101,***,Concentration of Very Large HDL Particles
M-HDL-FC,1.14 [1.13-1.15],1.327e-99,***,Free Cholesterol in Medium HDL
S-HDL-PL%,1.14 [1.12-1.15],4.484e-93,***,Phospholipids to Total-Lipids in Small HDL percentage
ApoA1,1.13 [1.12-1.15],1.089e-87,***,Apolipoprotein A1
M-HDL-C,1.13 [1.12-1.14],7.991e-87,***,Cholesterol in Medium HDL
M-HDL-P,1.13 [1.12-1.14],2.576e-88,***,Concentration of Medium HDL Particles
M-HDL-L,1.13 [1.12-1.14],3.168e-85,***,Total-Lipids in Medium HDL
M-HDL-CE,1.13 [1.11-1.14],1.146e-82,***,Cholesteryl Esters in Medium HDL
M-HDL-PL,1.13 [1.11-1.14],3.057e-83,***,Phospholipids in Medium HDL
L-HDL-FC%,1.12 [1.11-1.14],1.156e-67,***,Free Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-FC,1.11 [1.10-1.13],5.598e-63,***,Free Cholesterol in Very Large HDL
LDL-size,1.11 [1.10-1.12],8.726e-59,***,Average Diameter for LDL Particles
PC,1.11 [1.09-1.12],4.306e-58,***,Phosphatidylcholines
Cholines,1.10 [1.09-1.11],4.726e-50,***,Total-Cholines
L-HDL-TG,1.10 [1.09-1.11],6.888e-51,***,Triglycerides in Large HDL
HDL-P,1.10 [1.08-1.11],1.079e-48,***,Concentration of HDL Particles
Phosphoglyc,1.10 [1.08-1.11],1.209e-47,***,Phosphoglycerides
SM,1.09 [1.08-1.11],1.035e-46,***,Sphingomyelins
Total-P,1.09 [1.08-1.10],1.109e-41,***,Total-Concentration of Lipoprotein Particles
L-VLDL-CE%,1.09 [1.08-1.10],1.289e-38,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-HDL-C%,1.09 [1.08-1.10],6.153e-34,***,Cholesterol to Total-Lipids in Large HDL percentage
XXL-VLDL-FC%,1.09 [1.07-1.10],1.883e-38,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Unsaturation,1.08 [1.07-1.10],1.461e-32,***,Degree of Unsaturation
Total-PL,1.08 [1.06-1.09],3.534e-30,***,Total-Phospholipids in Lipoprotein Particles
GlycA,1.07 [1.06-1.09],3.538e-25,***,Glycoprotein Acetyls
XS-VLDL-CE,1.07 [1.06-1.09],4.045e-29,***,Cholesteryl Esters in Very Small VLDL
S-HDL-FC%,1.07 [1.06-1.08],7.452e-25,***,Free Cholesterol to Total-Lipids in Small HDL percentage
L-HDL-CE%,1.07 [1.06-1.08],5.647e-21,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XS-VLDL-C,1.07 [1.06-1.08],1.147e-25,***,Cholesterol in Very Small VLDL
DHA,1.07 [1.06-1.08],2.109e-23,***,Docosahexaenoic Acid
XL-VLDL-FC%,1.07 [1.06-1.08],8.386e-23,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,1.07 [1.06-1.08],4.641e-22,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-VLDL-C%,1.07 [1.05-1.08],2.304e-20,***,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,1.07 [1.05-1.08],4.013e-19,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XL-VLDL-CE%,1.07 [1.05-1.08],2.175e-19,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
DHA%,1.06 [1.05-1.08],7.467e-18,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-VLDL-FC%,1.06 [1.05-1.08],6.668e-18,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-HDL-C%,1.06 [1.05-1.08],2.239e-16,***,Cholesterol to Total-Lipids in Medium HDL percentage
XS-VLDL-CE%,1.06 [1.05-1.07],2.160e-16,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-L,1.06 [1.05-1.07],1.474e-17,***,Total-Lipids in Very Small VLDL
L-VLDL-C%,1.06 [1.05-1.07],7.724e-16,***,Cholesterol to Total-Lipids in Large VLDL percentage
XS-VLDL-FC,1.06 [1.05-1.07],1.518e-16,***,Free Cholesterol in Very Small VLDL
XS-VLDL-PL,1.06 [1.05-1.07],4.703e-16,***,Phospholipids in Very Small VLDL
IDL-PL,1.06 [1.04-1.07],1.340e-15,***,Phospholipids in IDL
PUFA/MUFA,1.06 [1.04-1.07],1.293e-12,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XS-VLDL-C%,1.06 [1.04-1.07],1.288e-13,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-PL%,1.05 [1.04-1.07],1.559e-12,***,Phospholipids to Total-Lipids in Medium VLDL percentage
PUFA%,1.05 [1.04-1.07],1.206e-10,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-PL%,1.05 [1.04-1.07],3.649e-12,***,Phospholipids to Total-Lipids in Small LDL percentage
XXL-VLDL-C%,1.05 [1.04-1.07],5.439e-12,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
PUFA,1.05 [1.04-1.06],4.651e-11,***,Polyunsaturated Fatty Acids
M-LDL-FC%,1.05 [1.04-1.06],1.671e-09,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
IDL-L,1.05 [1.04-1.06],2.281e-10,***,Total-Lipids in IDL
XS-VLDL-P,1.05 [1.04-1.06],1.398e-09,***,Concentration of Very Small VLDL Particles
Citrate,1.05 [1.03-1.06],1.456e-08,***,Citrate
IDL-CE,1.05 [1.03-1.06],6.008e-09,***,Cholesteryl Esters in IDL
Omega-6,1.05 [1.03-1.06],1.409e-08,***,Omega-6 Fatty Acids
Omega-3,1.05 [1.03-1.06],7.390e-08,***,Omega-3 Fatty Acids
IDL-C,1.05 [1.03-1.06],2.395e-08,***,Cholesterol in IDL
S-HDL-FC,1.05 [1.03-1.06],2.489e-08,***,Free Cholesterol in Small HDL
Total-CE,1.04 [1.03-1.06],4.869e-07,***,Total-Esterified Cholesterol
S-HDL-PL,1.04 [1.03-1.05],1.355e-06,***,Phospholipids in Small HDL
IDL-FC,1.04 [1.03-1.05],1.525e-06,***,Free Cholesterol in IDL
Omega-3%,1.04 [1.03-1.05],1.004e-05,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-LDL-FC%,1.04 [1.03-1.05],1.678e-05,***,Free Cholesterol to Total-Lipids in Large LDL percentage
Total-C,1.04 [1.03-1.05],1.586e-05,***,Total-Cholesterol
S-VLDL-FC%,1.04 [1.03-1.05],2.993e-04,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
XL-HDL-TG,1.04 [1.02-1.05],3.308e-04,***,Triglycerides in Very Large HDL
S-VLDL-PL%,1.04 [1.02-1.05],9.966e-04,***,Phospholipids to Total-Lipids in Small VLDL percentage
Omega-6%,1.04 [1.02-1.05],0.003,**,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-HDL-TG,1.04 [1.02-1.05],0.001,**,Triglycerides in Medium HDL
IDL-PL%,1.03 [1.02-1.05],0.005,**,Phospholipids to Total-Lipids in IDL percentage
IDL-TG,1.03 [1.02-1.04],0.022,*,Triglycerides in IDL
Total-FC,1.03 [1.02-1.04],0.022,*,Total-Free Cholesterol
S-LDL-FC,0.97 [0.96-0.98],0.035,*,Free Cholesterol in Small LDL
S-VLDL-L,0.97 [0.96-0.98],0.040,*,Total-Lipids in Small VLDL
M-LDL-TG,0.97 [0.96-0.98],0.043,*,Triglycerides in Medium LDL
M-VLDL-P,0.97 [0.96-0.98],0.018,*,Concentration of Medium VLDL Particles
XL-HDL-CE%,0.97 [0.96-0.98],0.006,**,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
S-LDL-PL,0.97 [0.96-0.98],0.004,**,Phospholipids in Small LDL
S-VLDL-P,0.97 [0.95-0.98],0.004,**,Concentration of Small VLDL Particles
L-LDL-PL%,0.97 [0.96-0.98],0.002,**,Phospholipids to Total-Lipids in Large LDL percentage
Tyr,0.96 [0.95-0.98],0.001,**,Tyrosine
L-VLDL-FC%,0.96 [0.95-0.97],8.664e-05,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
VLDL-FC,0.96 [0.95-0.97],4.977e-05,***,Free Cholesterol in VLDL
S-LDL-P,0.96 [0.95-0.97],2.939e-05,***,Concentration of Small LDL Particles
S-VLDL-TG,0.96 [0.95-0.97],1.234e-05,***,Triglycerides in Small VLDL
XXL-VLDL-TG%,0.96 [0.95-0.97],1.633e-06,***,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-VLDL-L,0.96 [0.95-0.97],3.132e-06,***,Total-Lipids in Medium VLDL
Lactate,0.96 [0.95-0.97],1.027e-06,***,Lactate
S-LDL-CE%,0.96 [0.95-0.97],4.483e-07,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
M-LDL-C,0.96 [0.95-0.97],1.604e-07,***,Cholesterol in Medium LDL
S-LDL-L,0.96 [0.95-0.97],1.465e-07,***,Total-Lipids in Small LDL
VLDL-PL,0.96 [0.95-0.97],3.740e-07,***,Phospholipids in VLDL
S-LDL-C,0.96 [0.95-0.97],1.371e-07,***,Cholesterol in Small LDL
Acetone,0.96 [0.95-0.97],3.971e-07,***,Acetone
M-LDL-L,0.96 [0.95-0.97],2.760e-08,***,Total-Lipids in Medium LDL
M-LDL-PL,0.96 [0.95-0.97],1.694e-08,***,Phospholipids in Medium LDL
