Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Citrate,1.11 [0.97-1.28],1.000,,Citrate
HDL-FC,1.11 [0.97-1.28],1.000,,Free Cholesterol in HDL
Total-FC,1.01 [0.88-1.16],1.000,,Total-Free Cholesterol
Unsaturation,1.00 [0.87-1.16],1.000,,Degree of Unsaturation
M-LDL-FC%,1.00 [0.87-1.15],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
ApoB,0.99 [0.86-1.14],1.000,,Apolipoprotein B
ApoB/ApoA1,0.97 [0.84-1.12],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
Clinical LDL-C,0.96 [0.84-1.11],1.000,,Clinical LDL Cholesterol
M-LDL-PL%,0.95 [0.83-1.09],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Val,0.80 [0.69-0.94],1.000,,Valine
