Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.15 [1.07-1.23],1.000,,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.15 [1.07-1.23],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-PL%,1.09 [1.01-1.16],1.000,,Phospholipids to Total-Lipids in IDL percentage
TG/PG,1.07 [1.00-1.16],1.000,,Triglycerides to Phosphoglycerides ratio
XXL-VLDL-TG,1.06 [0.99-1.13],1.000,,Triglycerides in Chylomicrons and Extremely Large VLDL
VLDL-C,0.94 [0.88-1.00],1.000,,VLDL Cholesterol
HDL-CE,0.93 [0.86-1.01],1.000,,Cholesteryl Esters in HDL
M-LDL-FC%,0.90 [0.84-0.96],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Remnant-C,0.90 [0.84-0.96],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,0.88 [0.82-0.94],1.000,,Total-Cholesterol
