Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.03 [0.86-1.23],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Non-HDL-C,1.02 [0.85-1.22],1.000,,Total-Cholesterol Minus HDL-C
LDL-C,1.02 [0.85-1.22],1.000,,LDL Cholesterol
Clinical LDL-C,1.01 [0.85-1.21],1.000,,Clinical LDL Cholesterol
ApoB,1.01 [0.84-1.20],1.000,,Apolipoprotein B
M-LDL-FC%,0.92 [0.77-1.10],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LA%,0.91 [0.76-1.09],1.000,,Linoleic Acid to Total-Fatty Acids percentage
Omega-3%,0.85 [0.71-1.03],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA%,0.84 [0.70-1.02],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
PUFA/MUFA,0.81 [0.67-0.98],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
