Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.51 [1.33-1.72],1.338e-04,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.48 [1.31-1.68],2.742e-04,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-TG%,1.41 [1.24-1.61],0.076,,Triglycerides to Total-Lipids in IDL percentage
L-HDL-TG%,1.14 [0.99-1.31],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
L-HDL-PL%,1.12 [0.97-1.28],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
IDL-C%,0.72 [0.64-0.81],0.007,**,Cholesterol to Total-Lipids in IDL percentage
IDL-CE%,0.72 [0.64-0.81],0.012,*,Cholesteryl Esters to Total-Lipids in IDL percentage
S-LDL-C%,0.70 [0.62-0.79],0.002,**,Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-C%,0.68 [0.61-0.77],6.185e-06,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-HDL-CE,0.68 [0.59-0.79],0.039,*,Cholesteryl Esters in Small HDL
L-LDL-C%,0.68 [0.60-0.76],5.514e-05,***,Cholesterol to Total-Lipids in Large LDL percentage
