Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-VLDL-PL%,1.14 [0.93-1.41],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
L-VLDL-FC%,1.14 [0.95-1.36],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
L-LDL-TG%,1.12 [0.94-1.33],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-PL%,1.07 [0.90-1.27],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-VLDL-C%,1.01 [0.85-1.21],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
M-LDL-FC%,1.00 [0.83-1.19],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-C,0.91 [0.77-1.08],1.000,,LDL Cholesterol
Remnant-C,0.91 [0.77-1.07],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.90 [0.77-1.07],1.000,,Total-Cholesterol Minus HDL-C
HDL-C,0.82 [0.67-1.00],1.000,,HDL Cholesterol
