Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
HDL-size,1.21 [1.15-1.27],1.537e-07,***,Average Diameter for HDL Particles
XL-HDL-PL,1.20 [1.14-1.26],9.374e-08,***,Phospholipids in Very Large HDL
XL-HDL-L,1.19 [1.13-1.25],1.675e-06,***,Total-Lipids in Very Large HDL
L-HDL-P,1.18 [1.12-1.24],4.887e-05,***,Concentration of Large HDL Particles
XL-HDL-P,1.18 [1.12-1.24],1.212e-05,***,Concentration of Very Large HDL Particles
L-HDL-FC,1.18 [1.12-1.24],6.758e-05,***,Free Cholesterol in Large HDL
XL-HDL-CE,1.17 [1.12-1.23],6.533e-05,***,Cholesteryl Esters in Very Large HDL
XL-HDL-C,1.17 [1.12-1.23],6.480e-05,***,Cholesterol in Very Large HDL
L-HDL-C,1.17 [1.11-1.23],3.026e-04,***,Cholesterol in Large HDL
L-HDL-CE,1.17 [1.11-1.23],3.428e-04,***,Cholesteryl Esters in Large HDL
L-HDL-L,1.17 [1.11-1.23],4.903e-04,***,Total-Lipids in Large HDL
L-HDL-PL,1.17 [1.11-1.23],8.830e-04,***,Phospholipids in Large HDL
XL-HDL-PL%,1.16 [1.10-1.22],0.009,**,Phospholipids to Total-Lipids in Very Large HDL percentage
XL-HDL-FC,1.16 [1.10-1.22],4.408e-04,***,Free Cholesterol in Very Large HDL
Val,0.88 [0.83-0.92],0.049,*,Valine
VLDL-size,0.87 [0.83-0.92],0.009,**,Average Diameter for VLDL Particles
XL-HDL-C%,0.87 [0.83-0.92],0.007,**,Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-FC%,0.86 [0.82-0.91],0.007,**,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Citrate,0.76 [0.72-0.80],1.419e-21,***,Citrate
