Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.15 [1.01-1.30],1.000,,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.12 [0.99-1.28],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
L-HDL-TG%,1.04 [0.91-1.19],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
L-HDL-PL%,1.03 [0.90-1.18],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
L-LDL-PL%,1.03 [0.90-1.17],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
VLDL-C,0.94 [0.83-1.07],1.000,,VLDL Cholesterol
M-LDL-FC%,0.92 [0.81-1.05],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-CE,0.90 [0.79-1.02],1.000,,Cholesteryl Esters in LDL
Total-C,0.87 [0.77-0.99],1.000,,Total-Cholesterol
HDL-CE,0.84 [0.72-0.98],1.000,,Cholesteryl Esters in HDL
