Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.12 [0.93-1.35],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Remnant-C,1.11 [0.92-1.34],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,1.10 [0.91-1.33],1.000,,Total-Cholesterol Minus HDL-C
LDL-C,1.09 [0.90-1.31],1.000,,LDL Cholesterol
Clinical LDL-C,1.06 [0.88-1.28],1.000,,Clinical LDL Cholesterol
LA%,0.96 [0.79-1.17],1.000,,Linoleic Acid to Total-Fatty Acids percentage
PUFA/MUFA,0.93 [0.76-1.13],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Omega-6/Omega-3,0.81 [0.66-0.98],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-LDL-FC%,0.80 [0.67-0.95],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-CE,0.79 [0.63-0.99],1.000,,Cholesteryl Esters in HDL
