Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.10 [1.08-1.12],6.521e-18,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.10 [1.07-1.12],6.968e-15,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-HDL-PL%,1.09 [1.07-1.12],1.172e-15,***,Phospholipids to Total-Lipids in Small HDL percentage
L-LDL-TG%,1.09 [1.07-1.12],9.289e-16,***,Triglycerides to Total-Lipids in Large LDL percentage
XL-HDL-PL%,1.08 [1.06-1.11],7.561e-06,***,Phospholipids to Total-Lipids in Very Large HDL percentage
HDL-size,1.08 [1.06-1.10],1.730e-08,***,Average Diameter for HDL Particles
IDL-PL%,1.08 [1.06-1.10],6.708e-11,***,Phospholipids to Total-Lipids in IDL percentage
IDL-TG%,1.08 [1.06-1.10],2.130e-09,***,Triglycerides to Total-Lipids in IDL percentage
S-LDL-PL%,1.07 [1.05-1.09],8.643e-07,***,Phospholipids to Total-Lipids in Small LDL percentage
GlycA,1.06 [1.04-1.08],2.298e-04,***,Glycoprotein Acetyls
XL-HDL-PL,1.06 [1.04-1.08],2.757e-05,***,Phospholipids in Very Large HDL
L-HDL-PL,1.06 [1.03-1.08],0.023,*,Phospholipids in Large HDL
S-LDL-TG%,1.06 [1.04-1.07],0.004,**,Triglycerides to Total-Lipids in Small LDL percentage
XL-HDL-L,1.05 [1.03-1.07],0.013,*,Total-Lipids in Very Large HDL
Omega-3%,0.95 [0.93-0.97],0.035,*,Omega-3 Fatty Acids to Total-Fatty Acids percentage
S-VLDL-FC%,0.95 [0.93-0.97],0.017,*,Free Cholesterol to Total-Lipids in Small VLDL percentage
XL-VLDL-PL,0.95 [0.93-0.97],0.042,*,Phospholipids in Very Large VLDL
XL-VLDL-L,0.95 [0.93-0.97],0.023,*,Total-Lipids in Very Large VLDL
XS-VLDL-CE%,0.95 [0.93-0.97],0.019,*,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Total-PL,0.95 [0.93-0.97],0.016,*,Total-Phospholipids in Lipoprotein Particles
XL-VLDL-FC,0.95 [0.93-0.97],0.010,*,Free Cholesterol in Very Large VLDL
His,0.95 [0.93-0.96],0.002,**,Histidine
XS-VLDL-C%,0.95 [0.93-0.97],0.008,**,Cholesterol to Total-Lipids in Very Small VLDL percentage
Unsaturation,0.95 [0.93-0.97],0.008,**,Degree of Unsaturation
S-VLDL-P,0.95 [0.93-0.96],8.770e-04,***,Concentration of Small VLDL Particles
L-VLDL-PL,0.95 [0.93-0.96],0.002,**,Phospholipids in Large VLDL
L-LDL-CE%,0.95 [0.93-0.96],1.215e-04,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
S-HDL-FC,0.94 [0.93-0.96],6.090e-04,***,Free Cholesterol in Small HDL
Omega-3,0.94 [0.93-0.96],1.554e-04,***,Omega-3 Fatty Acids
LA,0.94 [0.93-0.96],8.196e-05,***,Linoleic Acid
L-VLDL-P,0.94 [0.93-0.96],5.195e-04,***,Concentration of Large VLDL Particles
S-VLDL-L,0.94 [0.93-0.96],3.906e-05,***,Total-Lipids in Small VLDL
S-HDL-L,0.94 [0.93-0.96],1.116e-04,***,Total-Lipids in Small HDL
VLDL-PL,0.94 [0.93-0.96],3.701e-05,***,Phospholipids in VLDL
VLDL-P,0.94 [0.93-0.96],2.062e-05,***,Concentration of VLDL Particles
DHA,0.94 [0.92-0.96],8.872e-05,***,Docosahexaenoic Acid
S-LDL-CE%,0.94 [0.92-0.96],1.167e-05,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
IDL-PL,0.94 [0.92-0.96],7.995e-06,***,Phospholipids in IDL
S-HDL-CE%,0.94 [0.92-0.96],7.542e-06,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
VLDL-L,0.94 [0.92-0.96],1.638e-05,***,Total-Lipids in VLDL
XL-VLDL-C,0.94 [0.92-0.96],1.254e-05,***,Cholesterol in Very Large VLDL
L-VLDL-TG,0.94 [0.92-0.96],4.864e-05,***,Triglycerides in Large VLDL
S-VLDL-CE,0.94 [0.92-0.96],8.332e-07,***,Cholesteryl Esters in Small VLDL
Omega-6,0.94 [0.92-0.96],8.312e-06,***,Omega-6 Fatty Acids
S-HDL-C%,0.94 [0.92-0.96],4.939e-06,***,Cholesterol to Total-Lipids in Small HDL percentage
L-VLDL-FC,0.94 [0.92-0.96],7.524e-06,***,Free Cholesterol in Large VLDL
VLDL-size,0.94 [0.92-0.96],3.465e-05,***,Average Diameter for VLDL Particles
M-VLDL-TG,0.94 [0.92-0.96],4.376e-06,***,Triglycerides in Medium VLDL
M-LDL-CE%,0.94 [0.92-0.95],3.012e-07,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
L-VLDL-L,0.94 [0.92-0.95],4.779e-06,***,Total-Lipids in Large VLDL
L-VLDL-CE,0.94 [0.92-0.95],3.857e-07,***,Cholesteryl Esters in Large VLDL
L-VLDL-C,0.94 [0.92-0.95],6.864e-07,***,Cholesterol in Large VLDL
VLDL-CE,0.94 [0.92-0.95],4.642e-08,***,Cholesteryl Esters in VLDL
VLDL-FC,0.94 [0.92-0.95],1.358e-07,***,Free Cholesterol in VLDL
Ile,0.94 [0.92-0.95],1.099e-06,***,Isoleucine
VLDL-C,0.94 [0.92-0.95],2.747e-08,***,VLDL Cholesterol
S-VLDL-C,0.93 [0.92-0.95],1.360e-08,***,Cholesterol in Small VLDL
XL-VLDL-CE,0.93 [0.92-0.95],5.973e-08,***,Cholesteryl Esters in Very Large VLDL
S-VLDL-PL,0.93 [0.92-0.95],1.331e-08,***,Phospholipids in Small VLDL
ApoB/ApoA1,0.93 [0.92-0.95],1.077e-08,***,Apolipoprotein B to Apolipoprotein A1 ratio
PUFA,0.93 [0.91-0.95],4.449e-08,***,Polyunsaturated Fatty Acids
XL-HDL-CE%,0.93 [0.91-0.95],2.345e-07,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
IDL-L,0.93 [0.91-0.95],3.482e-09,***,Total-Lipids in IDL
L-LDL-P,0.93 [0.91-0.95],5.388e-10,***,Concentration of Large LDL Particles
Total-L,0.93 [0.91-0.95],3.534e-09,***,Total-Lipids in Lipoprotein Particles
IDL-P,0.93 [0.91-0.95],1.356e-10,***,Concentration of IDL Particles
M-VLDL-CE,0.93 [0.91-0.95],1.614e-10,***,Cholesteryl Esters in Medium VLDL
IDL-FC,0.93 [0.91-0.95],3.280e-10,***,Free Cholesterol in IDL
S-VLDL-FC,0.93 [0.91-0.94],3.634e-11,***,Free Cholesterol in Small VLDL
Creatinine,0.93 [0.91-0.95],3.197e-06,***,Creatinine
M-VLDL-PL,0.93 [0.91-0.94],1.384e-11,***,Phospholipids in Medium VLDL
M-VLDL-C,0.93 [0.91-0.94],3.881e-12,***,Cholesterol in Medium VLDL
Remnant-C,0.93 [0.91-0.94],6.295e-12,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
IDL-C,0.93 [0.91-0.94],1.300e-11,***,Cholesterol in IDL
M-VLDL-FC,0.93 [0.91-0.94],2.388e-12,***,Free Cholesterol in Medium VLDL
IDL-CE,0.92 [0.91-0.94],7.273e-12,***,Cholesteryl Esters in IDL
Total-FC,0.92 [0.91-0.94],1.081e-11,***,Total-Free Cholesterol
S-HDL-C,0.92 [0.91-0.94],3.736e-11,***,Cholesterol in Small HDL
M-VLDL-L,0.92 [0.91-0.94],3.796e-12,***,Total-Lipids in Medium VLDL
M-VLDL-P,0.92 [0.91-0.94],2.092e-12,***,Concentration of Medium VLDL Particles
S-HDL-P,0.92 [0.91-0.94],7.095e-12,***,Concentration of Small HDL Particles
ApoB,0.92 [0.91-0.94],1.482e-13,***,Apolipoprotein B
IDL-CE%,0.92 [0.91-0.94],1.181e-12,***,Cholesteryl Esters to Total-Lipids in IDL percentage
S-HDL-CE,0.92 [0.91-0.94],2.906e-12,***,Cholesteryl Esters in Small HDL
Total-C,0.92 [0.91-0.94],2.180e-12,***,Total-Cholesterol
