Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.15 [1.10-1.20],2.005e-04,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
Creatinine,1.15 [1.09-1.20],0.006,**,Creatinine
IDL-TG%,1.12 [1.08-1.17],0.011,*,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.11 [1.07-1.16],0.084,,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.11 [1.06-1.15],0.287,,Triglycerides to Total-Lipids in Medium LDL percentage
L-LDL-C%,0.90 [0.86-0.93],0.050,*,Cholesterol to Total-Lipids in Large LDL percentage
IDL-CE%,0.90 [0.86-0.93],0.014,*,Cholesteryl Esters to Total-Lipids in IDL percentage
XS-VLDL-C%,0.90 [0.86-0.93],0.014,*,Cholesterol to Total-Lipids in Very Small VLDL percentage
S-LDL-C%,0.89 [0.86-0.93],0.024,*,Cholesterol to Total-Lipids in Small LDL percentage
Total-CE,0.89 [0.86-0.93],0.026,*,Total-Esterified Cholesterol
IDL-C%,0.89 [0.86-0.93],0.003,**,Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-CE%,0.89 [0.86-0.93],0.003,**,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Total-P,0.88 [0.84-0.92],0.020,*,Total-Concentration of Lipoprotein Particles
HDL-L,0.88 [0.84-0.92],0.026,*,Total-Lipids in HDL
HDL-FC,0.87 [0.83-0.92],0.036,*,Free Cholesterol in HDL
HDL-CE,0.87 [0.83-0.91],0.003,**,Cholesteryl Esters in HDL
HDL-C,0.87 [0.82-0.91],0.002,**,HDL Cholesterol
M-HDL-FC%,0.86 [0.83-0.90],2.511e-05,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
